Date,Open,High,Low,Close,Adj Close,Volume
2007-8-3,56.799999,56.959999,55.84,56.200001,48.84058,8044300
2007-8-6,56.959999,57.119999,56.599998,57.040001,49.570587,4376300
2007-8-7,56.720001,57.240002,56.599998,56.919998,49.466293,6549400
2007-8-8,57.16,57.52,57.040001,57.400002,49.88343,8139500
2007-8-9,56.720001,56.84,56.279999,56.48,49.083908,7119600
2007-8-10,55.48,56.040001,55.200001,55.68,48.38868,6849300
2007-8-13,56,56.080002,55.720001,55.759998,48.458195,5173400
2007-8-14,56,56.080002,55.360001,55.599998,48.319157,8448800
2007-8-15,55,55.32,54.52,54.68,47.519623,9169800
2007-8-16,54.400002,55,53.880001,54.799999,47.623909,15916000
2007-8-17,54.720001,55,53.880001,54.400002,47.276287,10682900
2007-8-20,54.720001,54.720001,53.360001,53.799999,46.754864,9934700
2007-8-21,54.279999,54.68,54.16,54.48,47.345821,9622800
2007-8-22,54.799999,55.400002,54.799999,55.200001,47.971535,6009500
2007-8-23,55.919998,55.959999,55.48,55.599998,48.319157,5295100
2007-8-24,55.439999,56.080002,55.360001,55.880001,48.562481,3901000
2007-8-27,55.720001,55.759998,55.400002,55.439999,48.180092,3913100
2007-8-28,55.52,55.599998,54.599998,54.919998,47.728191,4107800
2007-8-29,55.080002,55.68,55,55.439999,48.180092,5242100
2007-8-30,54.759998,55.48,54.639999,55.080002,47.867252,4196000
2007-8-31,56.32,56.400002,55.959999,56.279999,48.910103,3700800
2007-9-4,55.799999,56.16,55.639999,55.959999,48.632,5128600
2007-9-5,54.880001,55.040001,54.639999,54.880001,47.693439,3666900
2007-9-6,55,55.200001,54.68,54.919998,47.728191,2685800
2007-9-7,54.439999,54.720001,54.32,54.639999,47.484859,3486800
2007-9-10,54.48,54.560001,53.799999,54.16,47.067715,3734800
2007-9-11,54.52,54.759998,54.439999,54.720001,47.554386,4023400
2007-9-12,54.400002,54.720001,54.32,54.560001,47.41534,5796200
2007-9-13,54.200001,54.400002,53.919998,54.16,47.067715,6072500
2007-9-14,54.360001,54.48,54.240002,54.32,47.206768,4541500
2007-9-17,54.240002,54.32,53.84,54.040001,46.963436,4240700
2007-9-18,53.720001,54.599998,53.52,54.599998,47.4501,7212400
2007-9-19,55.52,55.639999,55.200001,55.200001,47.971535,4300300
2007-9-20,55.360001,55.439999,54.720001,55,47.797714,4595000
2007-9-21,55,55.360001,54.959999,55.119999,47.902008,4941800
2007-9-24,55.400002,55.439999,55.080002,55.32,48.075806,3826400
2007-9-25,55.68,55.759998,55.400002,55.639999,48.353912,5267500
2007-9-26,56.119999,56.240002,55.919998,56.119999,48.771049,5020300
2007-9-27,57.240002,57.48,57.040001,57.400002,49.88343,6628400
2007-9-28,57.279999,57.48,57.16,57.360001,49.848675,5023500
2007-10-1,57.279999,58.279999,57.200001,58,50.404873,5137400
2007-10-2,58,58.200001,57.720001,57.84,50.26582,5048700
2007-10-3,57.759998,58.16,57.759998,57.880001,50.300583,4010600
2007-10-4,57.919998,58.080002,57.799999,57.84,50.26582,1788900
2007-10-5,58.240002,58.799999,58.119999,58.599998,50.9263,4716200
2007-10-8,58.240002,58.400002,58.040001,58.279999,50.648197,2237500
2007-10-9,58.119999,58.400002,58,58.119999,50.509148,3735300
2007-10-10,57.799999,58,57.720001,58,50.404873,2836900
2007-10-11,58.52,58.720001,57.959999,58.080002,50.474392,7350300
2007-10-12,57.880001,58.560001,57.880001,58.080002,50.474392,3393000
2007-10-15,57.560001,57.68,57.240002,57.400002,49.88343,3537700
2007-10-16,56.720001,56.759998,56.240002,56.360001,48.979626,2887000
2007-10-17,56.560001,56.68,56.16,56.439999,49.049145,3581400
2007-10-18,56.52,56.84,56.48,56.68,49.257729,3886600
2007-10-19,56.360001,56.439999,55.360001,55.560001,48.284389,4447600
2007-10-22,55.639999,56.119999,55.52,55.880001,48.562481,4488400
2007-10-23,56.040001,56.200001,55.720001,56.040001,48.701523,3782300
2007-10-24,55.919998,56.040001,55.080002,55.799999,48.492962,5896100
2007-10-25,55.639999,55.68,55.200001,55.599998,48.319157,4579800
2007-10-26,56.360001,56.84,56.200001,56.560001,49.153439,4609500
2007-10-29,57.16,57.360001,57.040001,57.32,49.813911,3523400
2007-10-30,57,57.279999,56.919998,57.040001,49.570587,2554700
2007-10-31,57.240002,57.599998,57.080002,57.439999,49.918201,3371200
2007-11-1,57.200001,57.279999,56.439999,56.720001,49.292484,6675300
2007-11-2,56.639999,56.720001,56.040001,56.560001,49.153439,4118000
2007-11-5,55.48,55.880001,55.48,55.599998,48.319157,2700900
2007-11-6,56.040001,56.360001,56.040001,56.240002,48.875351,3816400
2007-11-7,55.560001,55.759998,54.919998,55.200001,47.971535,4264900
2007-11-8,54.880001,55.040001,54.16,54.32,47.206768,7925700
2007-11-9,53.759998,53.919998,53.080002,53.599998,46.581047,8689200
2007-11-12,53.400002,54.16,53.400002,53.639999,46.615807,4405600
2007-11-13,54,54.639999,53.880001,54.560001,47.41534,3686500
2007-11-14,54.959999,55.119999,54.560001,54.720001,47.554386,6056000
2007-11-15,54.360001,54.639999,54.040001,54.240002,47.137234,4554300
2007-11-16,54.240002,54.279999,53.68,53.84,46.789631,3678300
2007-11-19,53.52,53.560001,52.720001,52.919998,45.990086,4513800
2007-11-20,53.959999,54.599998,53.799999,54.32,47.206768,6283200
2007-11-21,53.360001,53.599998,52.84,53.360001,46.372478,6634000
2007-11-23,54.200001,54.599998,54.200001,54.560001,47.41534,1519100
2007-11-26,55,55.080002,54.400002,54.560001,47.41534,4640000
2007-11-27,54.959999,55.599998,54.959999,55.439999,48.180092,5525600
2007-11-28,55.200001,56.119999,55.16,55.959999,48.632,8643100
2007-11-29,56.040001,56.599998,56.040001,56.16,48.805817,4552500
2007-11-30,56.639999,56.919998,56.119999,56.279999,48.910103,3557400
2007-12-3,56.48,56.560001,56.080002,56.360001,48.979626,3181100
2007-12-4,55.639999,55.919998,55.560001,55.759998,48.458195,4012000
2007-12-5,56.52,56.959999,56.439999,56.799999,49.362003,4700200
2007-12-6,56.759998,57.52,56.639999,57.52,49.987724,3458000
2007-12-7,57.040001,57.200001,56.759998,57,49.535824,2854400
2007-12-10,57,57.32,56.880001,57.16,49.67487,2042200
2007-12-11,57.200001,57.279999,55.720001,55.919998,48.597244,4004700
2007-12-12,57,57.16,56,56.360001,48.979626,4947900
2007-12-13,55.119999,55.32,54.560001,55.200001,47.971535,4324600
2007-12-14,54.200001,54.32,53.040001,53.040001,46.094391,6876400
2007-12-17,52.919998,53.119999,52.119999,52.119999,45.294857,3860400
2007-12-18,52.799999,53.200001,52.279999,53.040001,46.094391,4943700
2007-12-19,52.880001,53,52.439999,52.68,45.781532,4312400
2007-12-20,52.799999,53.080002,52.560001,52.880001,45.955334,3149400
2007-12-21,53.200001,53.880001,53.080002,53.68,46.650578,7053600
2007-12-24,52.720001,53.32,52.720001,53.040001,46.573307,2766300
2007-12-26,53,53.560001,52.84,53.279999,46.784039,2802800
2007-12-27,53.200001,53.200001,52.439999,52.439999,46.046452,3593100
2007-12-28,53.040001,53.200001,52.759998,53.040001,46.573307,3792300
2007-12-31,53.080002,53.16,52.560001,53.16,46.67868,3080600
2008-1-2,53.080002,53.32,52.68,52.919998,46.467926,3698200
2008-1-3,53,53.240002,52.880001,53.119999,46.643555,4579900
2008-1-4,52.52,52.68,51.400002,51.759998,45.449356,5893700
2008-1-7,51.639999,51.759998,51.279999,51.439999,45.168381,3872200
2008-1-8,52,52.200001,51.32,51.32,45.063004,8960100
2008-1-9,52.32,52.439999,51.68,52.439999,46.046452,5133500
2008-1-10,51.48,52.279999,51.439999,52,45.660107,6397900
2008-1-11,51.32,51.400002,50.880001,51.119999,44.88739,7487800
2008-1-14,51.759998,51.880001,51.400002,51.759998,45.449356,4105400
2008-1-15,50.68,50.799999,49.759998,50.32,44.184933,9592100
2008-1-16,49.48,49.759998,48.880001,49.400002,43.377102,8958700
2008-1-17,49.599998,49.919998,48.599998,48.720001,42.780003,8662600
2008-1-18,49.84,50.119999,49.040001,50,43.903946,8086900
2008-1-22,47.080002,48.720001,46.799999,48.16,42.288265,10836300
2008-1-23,46.880001,48.360001,46.400002,48.32,42.428772,14536200
2008-1-24,48.959999,49.200001,48.560001,49.119999,43.131233,29946100
2008-1-25,50.639999,50.759998,49.439999,49.880001,43.798576,8287700
2008-1-28,49.200001,49.919998,48.84,49.599998,43.552719,6391800
2008-1-29,50.16,50.439999,50.040001,50.439999,44.290298,4446100
2008-1-30,49.720001,50.919998,49.639999,50.200001,44.079567,4513300
2008-1-31,50.080002,51.200001,49.959999,50.880001,44.676651,7884600
2008-2-1,51.16,51.439999,51,51.32,45.063004,5673600
2008-2-4,51.200001,51.52,51,51.16,44.922508,3662100
2008-2-5,50.32,50.400002,49.360001,49.439999,43.412212,6490800
2008-2-6,49.400002,49.48,48.799999,48.799999,42.85025,5288500
2008-2-7,48.759998,49.360001,48.639999,49.080002,43.096107,7658800
2008-2-8,48.360001,48.48,47.639999,47.84,42.00729,4396700
2008-2-11,48.32,48.560001,47.84,48.32,42.428772,3868700
2008-2-12,48.880001,49.279999,48.68,49.040001,43.060986,3660500
2008-2-13,48.639999,48.84,48.360001,48.68,42.744881,4440700
2008-2-14,49.880001,49.919998,49.119999,49.16,43.166355,4858700
2008-2-15,49.599998,49.759998,49.080002,49.759998,43.693207,3736500
2008-2-19,50.720001,50.84,50.080002,50.240002,44.114681,7146600
2008-2-20,48.799999,49.48,48.720001,49.200001,43.201488,5627800
2008-2-21,49.959999,50.200001,49.439999,49.560001,43.51759,3499800
2008-2-22,49.880001,50.040001,49.119999,49.959999,43.868824,6407100
2008-2-25,50.48,51.080002,50.240002,51,44.782024,5071100
2008-2-26,50.84,51.68,50.720001,51.560001,45.273746,3834700
2008-2-27,51.240002,51.759998,51.080002,51.279999,45.027878,10096200
2008-2-28,51.040001,51.119999,50.68,50.720001,44.536167,4022100
2008-2-29,50.48,50.52,50.040001,50.119999,44.009315,7324900
2008-3-3,49.919998,50.080002,49.639999,50.080002,43.974197,7320400
2008-3-4,49,49.32,48.400002,48.919998,42.955612,7613200
2008-3-5,49.32,49.720001,49,49.200001,43.201488,7312100
2008-3-6,49.439999,49.560001,48.720001,48.759998,42.815125,4220100
2008-3-7,48.400002,48.639999,48.040001,48.040001,42.182907,5018700
2008-3-10,48.400002,48.52,47.799999,47.84,42.00729,5241800
2008-3-11,48.959999,49.360001,48.439999,49.240002,43.23661,6375500
2008-3-12,49.52,49.720001,49.16,49.240002,43.23661,3872800
2008-3-13,48.32,49.68,48.040001,49.400002,43.377102,15926600
2008-3-14,48.599998,48.880001,46.119999,46.119999,40.496994,10181200
2008-3-17,46.919998,47.919998,46.84,47.439999,41.656059,10801700
2008-3-18,48.279999,48.959999,48.16,48.799999,42.85025,8471800
2008-3-19,48.560001,48.799999,47.32,47.32,41.550694,4257100
2008-3-20,47.439999,48.52,47.040001,48.200001,42.323395,5967100
2008-3-24,49.400002,49.759998,49.32,49.68,43.622963,4020200
2008-3-25,49.919998,50.400002,49.68,50.200001,44.079567,6281100
2008-3-26,50.279999,50.360001,49.68,49.799999,43.728336,6526800
2008-3-27,50.16,50.240002,49.639999,49.639999,43.587841,3585300
2008-3-28,50,50.439999,49.84,49.84,43.763447,5587000
2008-3-31,49.360001,49.799999,49.32,49.48,43.447342,3459800
2008-4-1,50.360001,50.919998,50.279999,50.919998,44.711781,3853900
2008-4-2,50.880001,51.119999,50.68,50.84,44.641529,4209700
2008-4-3,50.959999,51.360001,50.919998,51.080002,44.852272,4854900
2008-4-4,51.200001,51.52,50.919998,51.119999,44.88739,3404300
2008-4-7,51.799999,51.799999,51.400002,51.48,45.203495,3249300
2008-4-8,50.560001,50.84,50.560001,50.720001,44.536167,2358400
2008-4-9,50.200001,50.279999,49.880001,49.959999,43.868824,5694500
2008-4-10,50.080002,50.360001,49.799999,49.799999,43.728336,5775100
2008-4-11,50.16,50.48,49.919998,50.119999,44.009315,6598300
2008-4-14,49.919998,50.16,49.759998,49.799999,43.728336,3391100
2008-4-15,50.16,50.240002,49.759998,50.16,44.044437,2661600
2008-4-16,51.16,51.759998,51.16,51.759998,45.449356,5943500
2008-4-17,51.080002,51.400002,50.880001,51,44.782024,8018400
2008-4-18,51.759998,52.400002,51.599998,52.400002,46.011333,5143500
2008-4-21,51.880001,52.279999,51.799999,52.240002,45.870838,2892400
2008-4-22,51.48,51.560001,51.16,51.240002,44.992756,4342600
2008-4-23,51.48,51.880001,51.279999,51.799999,45.484489,2885100
2008-4-24,51.400002,51.759998,50.959999,51.400002,45.133259,4903700
2008-4-25,52.400002,52.560001,52.119999,52.400002,46.011333,4957100
2008-4-28,52.84,53.48,52.759998,53.360001,46.854294,7960600
2008-4-29,53.200001,53.360001,52.799999,52.880001,46.432812,5294800
2008-4-30,52.959999,53.52,52.84,53.119999,46.643555,4737600
2008-5-1,52.759998,53.599998,52.720001,53.599998,47.065029,4674000
2008-5-2,53.759998,53.84,53.200001,53.48,46.95966,2999000
2008-5-5,53.32,53.68,53.240002,53.560001,47.029903,2169100
2008-5-6,53.279999,53.880001,53.240002,53.799999,47.240643,3175300
2008-5-7,53.880001,54.040001,53.040001,53.119999,46.643555,10361800
2008-5-8,53.360001,53.560001,53.080002,53.360001,46.854294,3978100
2008-5-9,52.400002,52.720001,52.360001,52.52,46.116703,4988600
2008-5-12,52.400002,52.759998,52.400002,52.720001,46.292316,2874700
2008-5-13,52.959999,52.959999,52.439999,52.759998,46.327438,6421100
2008-5-14,53.119999,53.48,53.119999,53.240002,46.748924,6868900
2008-5-15,53.84,54.32,53.68,54.279999,47.662121,5379100
2008-5-16,54.200001,54.639999,54.16,54.48,47.83773,3398000
2008-5-19,54.639999,54.880001,54.360001,54.400002,47.767487,5075800
2008-5-20,54.279999,54.32,53.880001,53.919998,47.346012,5171100
2008-5-21,53.639999,53.759998,52.919998,52.959999,46.503056,5793400
2008-5-22,53.759998,53.919998,53.48,53.720001,47.170399,3766800
2008-5-23,53.720001,53.759998,53.040001,53.279999,46.784039,4241100
2008-5-27,53.080002,53.439999,52.84,53.439999,46.924538,4800500
2008-5-28,52.759998,52.919998,52.48,52.84,46.39769,6747900
2008-5-29,52.959999,53.560001,52.919998,53.439999,46.924538,6538300
2008-5-30,54.080002,54.360001,54.040001,54.16,47.556755,6082800
2008-6-2,54.52,54.52,54.080002,54.279999,47.662121,4256300
2008-6-3,54.560001,54.720001,54,54.240002,47.627003,3767700
2008-6-4,54.560001,55.16,54.52,54.880001,48.188976,6231800
2008-6-5,54.52,55.32,54.52,55.32,48.575333,4807900
2008-6-6,54.279999,54.439999,53.360001,53.360001,46.854294,7114600
2008-6-9,53.599998,53.799999,53.200001,53.439999,46.924538,4186500
2008-6-10,52.200001,52.560001,52.16,52.279999,45.905964,5167100
2008-6-11,52.279999,52.560001,51.48,51.52,45.238625,7621900
2008-6-12,51.52,51.759998,51.279999,51.400002,45.133259,6542500
2008-6-13,51.360001,52,51.32,51.919998,45.589855,4547700
2008-6-16,52.16,52.52,52.080002,52.400002,46.011333,5033700
2008-6-17,52.880001,53,52.599998,52.759998,46.327438,2371600
2008-6-18,52.48,52.599998,52.200001,52.200001,45.835716,4843400
2008-6-19,51.799999,52.080002,51.52,52.040001,45.695217,4730300
2008-6-20,50.759998,50.919998,50.279999,50.32,44.184933,6691500
2008-6-23,50.599998,50.799999,50.400002,50.68,44.501045,4776400
2008-6-24,50.32,50.759998,50.119999,50.279999,44.149807,5596100
2008-6-25,50.599998,51.16,50.560001,50.799999,44.820339,6220900
2008-6-26,49.959999,50.080002,49.080002,49.52,43.691017,6685900
2008-6-27,49.759998,49.959999,49.439999,49.799999,43.938053,6110900
