Date,Open,High,Low,Volume,Adj Close,Volume money
2007-1-25,39.25,39.5,39.25,821,39.42,32370.32
2007-1-26,39,39,38.6,652.01,38.7,25274.754
2007-1-29,38.5,38.69,38.2,497,38.3,19154.25
2007-1-30,38.29,38.3,37.92,433,38.05,16472.7
2007-1-31,38.19,38.28,37.35,540,37.75,20389.28
2007-2-1,37.95,38,37.4,575,37.7,21701.37
2007-2-2,37.95,38.2,37.95,300,38.05,11416.44
2007-2-5,37.95,38.1,37.81,283,37.81,10756.86
2007-2-6,37.97,38.3,37.97,427,38.3,16279.86
2007-2-7,38.34,38.56,38.34,574,38.42,22115.04
2007-2-8,38.5,38.65,38.22,518,38.35,19899.38
2007-2-9,38.5,38.5,38.35,328,38.36,12610.73
2007-2-12,38.25,38.25,37.85,311,37.92,11797.43
2007-2-13,37.92,37.92,37.41,450,37.5,16944.7
2007-2-14,37.75,37.83,37.6,271,37.8,10208.87
2007-2-26,38.55,38.55,38.15,221,38.46,8492.58
2007-2-27,38.45,38.7,38.27,493,38.38,18981.89
2007-3-1,37.9,38,37.41,710,37.5,26752.68
2007-3-2,37.5,37.5,37.1,544,37.19,20262.04
2007-3-3,37.2,37.2,36.8,324,36.95,11968.49
2007-3-5,36.85,36.85,35.3,738,35.8,26517.98
2007-3-6,35.75,35.9,35.35,735,35.9,26142.26
2007-3-7,36,36.26,36,497,36.15,17967.17
2007-3-8,36.28,36.5,36.2,233,36.5,8483.06
2007-3-9,36,36.79,36,376,36.5,13751.73
2007-3-12,36.87,37.05,36.61,185,37.05,6837.71
2007-3-13,37.05,37.4,37.05,587,37.35,21896.91
2007-3-14,36.9,36.9,36.61,312,36.7,11438.21
2007-3-15,37.2,37.4,37.19,453,37.39,16885.6
2007-3-16,37.45,37.45,37.17,393,37.2,14638.71
2007-3-19,37.2,37.4,37.2,516,37.35,19242.1
2007-3-20,37.45,37.65,37.3,659,37.3,24672.91
2007-3-21,37.6,37.6,37.25,264,37.25,9850.27
2007-3-22,37.8,37.84,37.5,883,37.8,33330.85
2007-3-23,37.8,37.9,37.6,1153.1,37.81,43593.37
2007-3-26,37.5,38.05,37.5,614.24,38.05,23297.13
2007-3-27,38,38.15,37.71,677,37.86,25766.35
2007-3-28,37.86,37.86,37.3,512,37.4,19236.1
2007-3-29,37.35,37.58,37.25,519,37.58,19386.54
2007-3-30,37.35,37.96,37.35,118,37.5,4443.26
2007-4-2,37.6,37.84,37.5,114,37.8,4303.41
2007-4-3,37.7,37.84,37.63,108,37.84,4081.7
2007-4-4,38,38.2,38,274,38.15,10435.48
2007-4-9,38.2,38.52,38.2,414.24,38.51,15943.887
2007-4-10,38.5,38.5,38.16,196,38.35,7510.03
2007-4-11,38.5,38.7,38.35,410,38.7,15831.2
2007-4-12,38.6,38.79,38.5,257,38.79,9934.28
2007-4-13,38.41,39,38.41,153.34,38.5,5921.53
2007-4-14,38.65,38.65,38.4,132,38.52,5081.07
2007-4-16,38.55,38.7,38.42,152,38.5,5857.75
2007-4-17,38.4,38.65,38.11,220,38.11,8443.47
2007-4-18,38.3,38.3,38.11,40,38.2,1529.87
2007-4-19,38,38.2,37.7,162,37.7,6133.66
2007-4-20,37.7,37.9,37.7,188,37.9,7114.72
2007-4-23,38.05,38.5,38.05,104,38.4,3993.53
2007-4-24,38.4,38.65,38.25,221,38.65,8507.7
2007-4-25,38.5,38.62,38.31,194,38.59,7451.24
2007-4-26,38.7,38.7,38.5,137.001,38.6,5279.168
2007-4-27,38.6,38.6,38.4,146.229,38.4,5625.203
2007-4-30,38.85,38.85,38,253,38.1,9641.15
2007-5-2,38.36,38.49,38.2,81,38.49,3109.58
2007-5-3,38.5,38.91,38.5,374,38.8,14491.35
2007-5-4,38.92,39.25,38.92,645,39.23,25257.24
2007-5-7,39.31,39.55,39.31,464,39.44,18303.07
2007-5-8,39.45,39.88,39.45,1265,39.86,50327.68
2007-5-9,39.89,39.89,39.62,291,39.62,11552.17
2007-5-10,39.62,39.8,39.6,42.13,39.72,1673.469
2007-5-11,39.41,39.45,39.32,228,39.32,8971.32
2007-5-14,39.35,39.6,39.35,105,39.37,4149.77
2007-5-15,39.37,39.37,38.9,159,38.95,6204.83
2007-5-16,38.9,38.99,38.8,85,38.99,3302.36
2007-5-17,38.6,39.3,38.6,400,39.05,15648.3
2007-5-18,39.06,39.25,39.06,372,39.1,14558.75
2007-5-21,39.2,39.55,39.12,358,39.5,14113.32
2007-5-22,39.55,40,39.55,663,39.8,26417.25
2007-5-23,40,40.3,40,685,40.2,27504.53
2007-5-24,40.2,40.3,40,146,40.1,5856.91
