Date,Open,High,Low,Volume,Adj Close,Volume money
2014-10-31,19.7,19.9,19.65,8681,19.75,172054.28
2014-11-3,19.75,19.76,19.61,5828.013,19.68,114736.659
2014-11-4,19.68,19.73,19.6,8030,19.72,158039.45
2014-11-5,19.69,19.78,19.66,7323.016,19.77,144565.229
2014-11-6,19.77,19.91,19.71,9868.528,19.89,195451.526
2014-11-7,19.89,19.97,19.84,11326.132,19.86,225198.624
2014-11-10,19.7,19.78,19.53,7645.067,19.55,149699.975
2014-11-11,19.52,19.6,19.51,5012.121,19.6,98014.658
2014-11-12,19.65,19.87,19.61,7630.4,19.84,150571.995
2014-11-13,19.85,19.85,19.73,3540.081,19.74,70045.566
2014-11-14,19.76,19.8,19.69,2545.066,19.76,50213.656
2014-11-17,19.66,19.93,19.63,6541,19.88,129418.6
2014-11-18,19.8,20,19.77,2818.15,19.94,56166.961
2014-11-19,19.94,19.94,19.7,7037.5,19.76,138924.969
2014-11-20,19.72,19.72,19.46,16837.392,19.5,328761.274
2014-11-21,19.5,19.53,19.46,8490,19.48,165494.75
2014-11-24,19.48,19.48,19.37,6430,19.47,124913.84
2014-11-25,19.52,19.53,19.42,4919,19.45,95756.02
2014-11-26,19.5,19.5,19.45,1768,19.48,34427.25
2014-11-27,19.42,19.42,19.24,5638.019,19.33,108872.555
2014-11-28,19.32,19.35,19.29,3638.1,19.34,70314.45
2014-12-1,19.58,19.61,19.35,8593,19.45,167597.3
2014-12-2,19.49,19.68,19.49,7556.385,19.62,148144.502
2014-12-3,19.6,19.6,19.3,9567.1,19.34,185404.055
2014-12-4,19.25,19.29,19.17,11227,19.26,216003.52
2014-12-5,19.26,19.33,19.24,1903,19.27,36669.95
2014-12-8,19.2,19.34,19.18,2488,19.3,47970.02
2014-12-9,19.37,19.44,19.34,1928.005,19.4,37385.693
2014-12-10,19.52,19.67,19.42,5625,19.65,110163.21
2014-12-11,19.75,19.77,19.6,3803.011,19.66,74826.575
2014-12-12,19.66,19.68,19.56,2140.485,19.65,42023.216
2014-12-15,19.75,19.83,19.66,8286.1,19.66,163623.505
2014-12-16,19.7,19.74,19.62,5644,19.74,111112.03
2014-12-17,19.74,19.97,19.74,23119,19.91,460219.43
2014-12-18,19.83,19.95,19.79,16730.2,19.95,332511.36
2014-12-19,19.66,19.73,19.54,7476,19.59,146770.58
2014-12-22,19.59,19.59,19.42,3879.159,19.43,75587.9
2014-12-23,19.38,19.43,19.35,2679,19.38,51929.57
2014-12-24,19.38,19.38,19.24,5571,19.27,107511.21
2014-12-25,19.25,19.3,19.25,2226,19.27,42894.98
2014-12-26,19.27,19.27,19.19,2970,19.2,57072.35
2014-12-27,19.17,19.18,19.13,2846,19.14,54512.47
2014-12-29,19.12,19.13,18.96,8010.1,18.98,152328.034
2014-12-30,18.95,19.09,18.93,4989.1,19.06,94925.365
2014-12-31,19.07,19.11,19.01,3415,19.05,65099.61
2015-1-5,19.15,19.28,19.08,5644,19.12,108153.06
2015-1-6,19.33,19.58,19.31,10199.1,19.53,198273.6
2015-1-7,19.53,19.56,19.44,6164.41,19.49,120168.37
2015-1-8,19.25,19.33,19.12,13061,19.12,250556.15
2015-1-9,19,19.19,18.99,3771,19.17,72088.28
2015-1-12,19.27,19.3,19.16,4123,19.25,79300.01
2015-1-13,19.25,19.3,19.07,8025,19.16,153595.27
2015-1-14,19.19,19.31,19.14,6469,19.27,124601.67
2015-1-15,19.18,19.36,19.17,6903.013,19.27,133113.691
2015-1-16,19.14,19.47,19.14,14133.477,19.4,274113.563
2015-1-19,19.18,19.35,19.12,9907,19.31,190829.11
2015-1-20,19.23,19.26,19.11,12827,19.12,245754.06
2015-1-21,19.07,19.07,19,16200,19.03,308144.56
2015-1-22,18.99,18.99,18.83,14742,18.89,278355.37
2015-1-23,18.7,18.73,18.67,14862,18.7,277822.05
2015-1-26,18.77,18.77,18.69,11415,18.71,213662.89
2015-1-27,18.61,18.67,18.55,6516,18.6,121289.28
2015-1-28,18.68,18.68,18.58,11519,18.59,214363.9
2015-1-29,18.66,18.77,18.64,8441.156,18.75,158053.482
2015-1-30,18.73,18.82,18.71,6813.013,18.82,127845.055
2015-2-2,18.85,18.89,18.77,5573,18.82,104918.24
2015-2-3,18.73,18.81,18.65,8608.055,18.71,161040.655
2015-2-4,18.58,18.61,18.53,9913,18.6,184079.22
2015-2-5,18.6,18.67,18.6,2157.011,18.61,40202.604
2015-2-6,18.6,18.7,18.58,3084,18.69,57538.42
2015-2-9,18.75,18.77,18.69,2615,18.73,49000.11
2015-2-10,18.75,18.77,18.7,3638.26,18.77,68211.6
2015-2-11,18.7,18.71,18.62,3101.004,18.63,57818.255
2015-2-12,18.63,18.69,18.62,2168.2,18.66,40436.23
2015-2-13,18.6,18.6,18.52,6527.096,18.58,121091.414
2015-2-24,18.46,18.46,18.37,11183.24,18.39,205867.419
2015-2-25,18.31,18.34,18.28,8133.1,18.28,148815.51
2015-2-26,18.33,18.38,18.31,2518,18.34,46185.1
2015-3-2,18.35,18.4,18.28,3708.114,18.39,68030.04
2015-3-3,18.31,18.47,18.31,1694.1,18.4,31193.559
2015-3-4,18.45,18.49,18.37,2212,18.41,40721.75
2015-3-5,18.4,18.52,18.39,2769.15,18.42,51080.586
2015-3-6,18.45,18.49,18.38,2972,18.4,54735.13
2015-3-9,18.48,18.53,18.45,4008,18.47,74076.29
2015-3-10,18.53,18.6,18.47,4954,18.56,91917.87
2015-3-11,18.7,18.71,18.54,5409,18.59,100733.49
2015-3-12,18.59,18.6,18.44,4905,18.45,90661.2
2015-3-13,18.45,18.47,18.37,5063.05,18.47,93259.414
2015-3-16,18.47,18.53,18.45,2040.161,18.53,37724.894
2015-3-17,18.45,18.52,18.36,5964.1,18.52,109870.89
2015-3-18,18.5,18.5,18.35,7890.1,18.39,145088.92
2015-3-19,18.3,18.3,18.14,14030.05,18.19,255436.31
2015-3-20,18.2,18.21,18.15,2844,18.18,51718.71
2015-3-23,18.19,18.21,18.15,2880,18.18,52340.63
2015-3-24,18.19,18.28,18.16,2537,18.24,46257.02
2015-3-25,18.25,18.32,18.23,2220,18.28,40608.5
2015-3-26,18.41,18.48,18.38,7588.163,18.42,139956.647
2015-3-27,18.45,18.57,18.41,6356.5,18.56,117669.824
2015-3-30,18.56,18.6,18.52,6009,18.54,111547.69
2015-3-31,18.5,18.54,18.44,3981,18.48,73578.85
2015-4-1,18.6,18.64,18.57,5564,18.61,103548.9
2015-4-2,18.59,18.59,18.4,9496.1,18.41,175189.321
2015-4-7,18.38,18.41,18.34,6478,18.35,119020.64
2015-4-8,18.35,18.51,18.35,3136,18.48,57944.47
2015-4-9,18.51,18.51,18.3,8102.05,18.47,148968.872
2015-4-10,18.36,18.44,18.31,3543,18.39,65100.71
2015-4-13,18.32,18.37,18.3,6004,18.32,110103.75
2015-4-14,18.35,18.39,18.31,10159,18.35,186276.7
2015-4-15,18.4,18.55,18.35,10104.5,18.53,186920.603
2015-4-16,18.5,18.5,18.36,5830.03,18.37,107272.988
2015-4-17,18.4,18.47,18.38,2872,18.46,52980.15
2015-4-20,18.52,18.58,18.46,7063.161,18.49,130808.911
2015-4-21,18.46,18.56,18.4,3126,18.51,57832.06
2015-4-22,18.5,18.5,18.35,6583,18.37,121063.56
2015-4-23,18.31,18.31,17.94,22241,17.97,402721.32
2015-4-24,17.93,17.95,17.69,14694.1,17.83,261700.699
2015-4-27,17.77,17.77,17.64,10144,17.65,179363.85
2015-4-28,17.65,17.74,17.64,3880.541,17.71,68686.503
2015-4-29,17.73,17.88,17.65,4159,17.82,73991.81
2015-4-30,17.83,17.92,17.82,3416,17.88,61049.18
2015-5-4,17.88,17.95,17.84,3032.5,17.85,54245.82
2015-5-5,17.85,17.96,17.85,2581.298,17.93,46278.859
