Date,Open,High,Low,Volume,Adj Close,Volume money
2014-11-25,21.54,21.87,21.54,18956,21.78,411547.87
2014-11-26,21.95,22.73,21.95,16475,22.63,368393.41
2014-11-27,23,23.55,23,13673,23.39,318864.79
2014-11-28,23.49,24.68,23.37,18045,24.39,428003.49
2014-12-1,25,26.21,25,14047,25.97,361627.25
2014-12-2,25.22,27.2,25.05,12950,26.73,335679.93
2014-12-3,27.97,30.16,27.32,15079,28.03,433365.61
2014-12-4,28.4,30.79,28.4,15859,30.79,468111.12
2014-12-5,32.94,34.43,31.3,21126,33.07,692925.69
2014-12-8,33.15,34.54,31.6,26670,34.21,897528.72
2014-12-9,34.4,37.94,33.51,38738,37.43,1388736.719
2014-12-10,31.53,32.83,30.9,21917.985,32.15,695579.513
2014-12-11,33.15,33.74,31.68,37105,31.94,1218353.34
2014-12-12,32.5,33.49,32.05,21661,32.2,708323.06
2014-12-15,32.12,32.12,30.95,11889,31.57,373513.84
2014-12-16,31.55,34.16,31.55,21281,32.92,702455.93
2014-12-17,35,37.37,35,28324.477,36.65,1018814.546
2014-12-18,38.13,39.4,37.4,31642.477,38.5,1218104.775
2014-12-19,39,39.2,36.74,16952,37.51,645762.51
2014-12-22,38.8,41.81,38.8,23838,41.21,957808.07
2014-12-23,41,41.62,39.08,18644.467,40.91,749956.577
2014-12-24,38.8,38.99,36.45,32239.733,36.5,1212997.761
2014-12-25,36.5,37.58,36.12,29329.66,37,1082903.003
2014-12-26,38.8,40,38.33,36592,39.9,1430155.77
2014-12-27,41,41.85,40.82,16666.66,41.85,689097.008
2014-12-29,42.5,43.75,41.95,30942.6,42.31,1323728.98
2014-12-30,41.88,42.9,41.3,28605,41.91,1200933.72
2014-12-31,42.5,44.2,42.25,25141.5,44.2,1086324.89
2015-1-5,45.6,47.7,45.11,31919.25,47.65,1479049.11
2015-1-6,47.22,49.1,45.41,40957.3,46.8,1926768.3
2015-1-7,47.6,47.82,46.43,26027.283,46.93,1226906.314
2015-1-8,48,48.33,44.51,49077.055,44.7,2249336.795
2015-1-9,44.35,45.67,43.65,32765,45.67,1458408.24
2015-1-12,44.45,45,41.76,38921.295,41.9,1688351.946
2015-1-13,43.15,43.85,42.5,25525.2,42.76,1098960
2015-1-14,42.85,43.84,42.8,19772.999,42.94,854101.375
2015-1-15,42.88,43.8,42.25,19390.648,43.8,834753.588
2015-1-16,46,46.4,45.15,30818.701,45.61,1412177.116
2015-1-19,43.95,43.95,36,78869,36.26,3116851.334
2015-1-20,35.5,37.85,34.41,52453.028,36.8,1920060.98
2015-1-21,37.32,39.68,36.95,30359.95,39.6,1162609.425
2015-1-22,41,41,39.24,27841,40.02,1122706.19
2015-1-23,40.8,42.1,40.51,32002.01,41.77,1323626.95
2015-1-26,41.35,41.69,39.89,26651.19,40.17,1083892.247
2015-1-27,41.2,41.38,38,32450,38.4,1284037.06
2015-1-28,39,39.59,38.22,19743.4,39.5,767339.11
2015-1-29,38,38,36.03,30334.799,37.03,1120984.303
2015-1-30,37.34,38.25,36.06,29446.26,36.63,1091267.78
2015-2-2,35.1,35.7,34.2,29863.999,35.33,1040850.903
2015-2-3,35.35,36,34.68,23622,34.8,832710.98
2015-2-4,36.8,37.75,36.7,29154.5,36.77,1084623.24
2015-2-5,39.15,39.25,36.85,49688,37.5,1891242.62
2015-2-6,35.5,35.68,34.7,38060.148,35.16,1339221.182
2015-2-9,34.22,35.45,33.83,29277,35.02,1008556.64
2015-2-10,35.43,36.61,35.25,27328.85,36.61,982800.427
2015-2-11,36.89,37,36.24,19431.75,36.43,711635.271
2015-2-12,36.68,36.83,35.96,16629.55,36.48,606639.31
2015-2-13,36.99,38.41,36.9,27325.585,38.22,1028610.82
2015-2-24,38.5,38.8,38.5,12697.491,38.66,490813.789
2015-2-25,38.74,38.81,37.21,28411,37.45,1076918.61
2015-2-26,37.2,38.6,36.27,37290,38.24,1397095.12
2015-3-2,39.7,40.3,38.54,38920,38.54,1530032.739
2015-3-3,38.9,38.94,36.9,34271,36.9,1291237.47
2015-3-4,36.2,36.49,35.55,32854,35.83,1182604.04
2015-3-5,35.83,35.87,34.54,35237.629,34.54,1234328.296
2015-3-6,34.8,35.35,34.73,17909,35.01,626739.52
2015-3-9,34.41,34.41,33.3,28735.847,34.28,972363.114
2015-3-10,35.8,36.16,35.07,26341.5,35.39,939868.535
2015-3-11,34.85,36.71,34.76,27425.083,35.99,989288.217
2015-3-12,36.45,38.5,35.95,48415.947,38.4,1807303.749
2015-3-13,38.4,39.38,38.4,34665.02,38.68,1347528.85
2015-3-16,38.7,39.74,38.25,36748.33,39.43,1438227.39
2015-3-17,40.3,41.15,40.3,40849.85,40.85,1664437.967
2015-3-18,41.34,42.2,41.11,29120.316,42.14,1214494.317
2015-3-19,43.15,43.18,42.36,31974.34,42.67,1370143.751
2015-3-20,42.66,43.17,42.4,27412.85,43.13,1174027.687
2015-3-23,44.12,45.08,44.12,32457,44.7,1449568.99
