Date,Open,High,Low,Close,Adj Close,Volume
2007-8-3,49.619999,49.740002,48.720001,48.720001,33.552891,80600
2007-8-6,48.759998,49.279999,48.5,49.18,33.86969,129500
2007-8-7,48.860001,49.880001,48.599998,49.740002,34.255363,212400
2007-8-8,50.16,50.700001,50.080002,50.34,34.668564,136400
2007-8-9,48.959999,49.599998,48.66,49.439999,34.048752,250400
2007-8-10,47.68,48.240002,47.259998,47.700001,32.85043,478300
2007-8-13,48.240002,48.66,48.02,48.220001,33.208553,447900
2007-8-14,48.380001,48.5,47.32,47.5,32.712696,82700
2007-8-15,46.740002,47.459999,46.34,46.400002,31.955132,140000
2007-8-16,45.619999,46,44.400002,45.900002,31.610794,161900
2007-8-17,46.82,47.560001,46.16,47,32.368351,211100
2007-8-20,47.34,47.34,46.540001,47,32.368351,80800
2007-8-21,46.439999,46.919998,46.400002,46.619999,32.106644,77000
2007-8-22,47.560001,48.220001,47.560001,47.860001,32.960629,330500
2007-8-23,48.580002,48.639999,47.900002,48.299999,33.263645,260300
2007-8-24,48.400002,49.200001,48.400002,49.02,33.759495,131000
2007-8-27,48.880001,49,48.48,48.599998,33.470249,92800
2007-8-28,47.939999,48.240002,47.139999,47.220001,32.519863,112500
2007-8-29,47.98,48.66,47.799999,48.5,33.401386,36700
2007-8-30,47.919998,48.82,47.919998,48.360001,33.304974,231900
2007-8-31,49.34,49.599998,49.080002,49.48,34.076302,270800
2007-9-4,49.459999,50.82,49.259998,50.540001,34.806301,2002700
2007-9-5,49.799999,50.119999,49.459999,49.919998,34.379314,593300
2007-9-6,49.860001,50.099998,49.419998,50,34.434414,781500
2007-9-7,49.540001,49.639999,48.84,49.32,33.966103,318800
2007-9-10,49.419998,49.419998,48.459999,48.799999,33.607998,142100
2007-9-11,49.34,50.220001,49.299999,50.220001,34.585926,183800
2007-9-12,49.799999,50.240002,49.68,49.880001,34.351772,240000
2007-9-13,50.380001,50.580002,50.18,50.220001,34.585926,259300
2007-9-14,49.16,49.860001,49,49.419998,34.034977,189700
2007-9-17,48.580002,48.959999,47.919998,48.200001,33.194767,425200
2007-9-18,48.799999,50.439999,48.52,50.18,34.558372,248000
2007-9-19,50.5,50.799999,50.299999,50.540001,34.806301,100900
2007-9-20,50.299999,50.66,50.18,50.220001,34.585926,91000
2007-9-21,50.779999,51.18,50.720001,50.84,35.012909,253900
2007-9-24,51.32,51.32,50.540001,50.98,35.109329,144600
2007-9-25,50.299999,50.68,50.18,50.619999,34.861397,116900
2007-9-26,50.84,51.02,50.48,50.759998,34.957813,93300
2007-9-27,51.5,51.540001,51.099998,51.299999,35.329712,115700
2007-9-28,51.299999,51.759998,51.02,51.459999,35.439896,154400
2007-10-1,51.619999,52.34,51.619999,52.279999,36.004635,150100
2007-10-2,52.16,52.299999,51.639999,52,35.81179,206400
2007-10-3,51.84,52.18,51.720001,51.779999,35.660282,153200
2007-10-4,52.279999,52.560001,51.959999,52,35.81179,180700
2007-10-5,52.299999,52.880001,52.279999,52.759998,36.335182,762300
2007-10-8,52.360001,52.419998,52.060001,52.139999,35.908211,113800
2007-10-9,52.360001,52.98,52.220001,52.84,36.390293,101200
2007-10-10,52.540001,53.060001,52.540001,52.759998,36.335182,280500
2007-10-11,53.360001,53.52,52.84,53.02,36.514252,139400
2007-10-12,53.18,53.540001,52.959999,53.380001,36.76218,77700
2007-10-15,53.540001,53.66,52.360001,52.880001,36.417835,254100
2007-10-16,52.759998,52.759998,52.200001,52.34,36.045948,139900
2007-10-17,53.279999,53.360001,52.720001,53.060001,36.541798,121500
2007-10-18,52.880001,53.220001,52.740002,53.220001,36.651993,120700
2007-10-19,52.779999,52.779999,51.759998,51.759998,35.6465,110900
2007-10-22,51.02,51.639999,50.740002,51.639999,35.563862,77900
2007-10-23,52.619999,52.619999,51.98,52.48,36.142357,146400
2007-10-24,52.400002,52.580002,51.560001,52.240002,35.977077,139300
2007-10-25,52.68,52.84,52.32,52.720001,36.307655,145200
2007-10-26,53.360001,53.619999,51.799999,53.619999,36.927464,278900
2007-10-29,53.619999,54.119999,53.580002,54.080002,37.244259,110000
2007-10-30,53.560001,53.919998,53.560001,53.66,36.955021,129500
2007-10-31,54,54.759998,53.939999,54.439999,37.492188,148200
2007-11-1,53.82,53.82,53.099998,53.16,36.610672,160400
2007-11-2,53.360001,53.66,52.799999,53.66,36.955021,123200
2007-11-5,52.400002,52.599998,51.700001,52.32,36.032169,2454200
2007-11-6,53.02,53.040001,52.18,52.84,36.390293,624200
2007-11-7,52.139999,52.599998,51.419998,51.459999,35.439896,429200
2007-11-8,52.220001,52.459999,51.68,52.299999,36.018398,1020600
2007-11-9,51.240002,51.599998,50.919998,51.02,35.136875,342100
2007-11-12,50.599998,50.720001,49.66,49.959999,34.40686,176900
2007-11-13,51.119999,51.84,50.959999,51.82,35.68782,135600
2007-11-14,51.860001,52,50.959999,51.200001,35.260834,253100
2007-11-15,50.259998,50.720001,49.799999,50.119999,34.517059,168000
2007-11-16,50.5,50.5,49.799999,50.400002,34.709892,152700
2007-11-19,49.439999,49.799999,48.419998,48.580002,33.45647,164700
2007-11-20,49.32,50.080002,49.119999,49.799999,34.296669,200200
2007-11-21,48.98,49.34,48.32,48.700001,33.539116,158800
2007-11-23,49.919998,50.099998,49.639999,50.02,34.448193,112800
2007-11-26,50.419998,50.419998,48.900002,48.900002,33.676861,322300
2007-11-27,48.779999,49.66,48.740002,49.619999,34.172714,311400
2007-11-28,50,51.419998,49.919998,51.419998,35.41235,202700
2007-11-29,50.34,51,50.32,50.82,34.999142,137400
2007-11-30,51.939999,51.939999,50.82,51.240002,35.288391,303800
2007-12-3,51.560001,51.560001,50.619999,50.939999,35.081779,238800
2007-12-4,50.360001,51.060001,50.139999,50.5,34.778751,2160600
2007-12-5,51.66,51.66,50.900002,51.48,35.453678,2723400
2007-12-6,51.279999,51.799999,50.959999,51.599998,35.536316,465200
2007-12-7,51.799999,52.220001,51.419998,51.939999,35.77047,1146400
2007-12-10,52.240002,52.619999,52.139999,52.5,36.156132,234300
2007-12-11,52.240002,52.5,50.82,50.959999,35.095554,572000
2007-12-12,52.48,52.759998,51.779999,52.240002,35.977077,285300
2007-12-13,51.279999,51.459999,50.580002,51.060001,35.164436,242000
2007-12-14,50.400002,50.639999,49.959999,50.099998,34.503288,407400
2007-12-17,49.439999,49.619999,49.040001,49.119999,33.828369,172400
2007-12-18,49.779999,49.900002,49.02,49.439999,34.048752,367000
2007-12-19,49.380001,49.540001,48.759998,49.240002,33.911011,403700
2007-12-20,49.419998,49.619999,49.02,49.5,34.090073,490600
2007-12-21,49.82,50.16,49.82,50.119999,34.517059,559900
