Date,Open,High,Low,Close,Adj Close,Volume
2007-8-3,25.59,25.700001,25.51,25.52,20.336008,214300
2007-8-6,25.700001,25.91,25.549999,25.799999,20.55913,241500
2007-8-7,25.700001,25.940001,25.59,25.82,20.575069,86800
2007-8-8,26.280001,26.459999,26.16,26.280001,20.941628,195900
2007-8-9,25.700001,26.1,25.58,26,20.718506,148100
2007-8-10,25.27,25.43,25.09,25.16,20.049135,180300
2007-8-13,25.450001,25.469999,25.059999,25.1,20.001326,166300
2007-8-14,25.139999,25.17,24.690001,24.690001,19.674608,353000
2007-8-15,24.66,24.969999,24.42,24.42,19.459457,331200
2007-8-16,24.389999,24.459999,23.91,24.43,19.46743,368300
2007-8-17,24.9,25.1,24.559999,24.860001,19.810074,79200
2007-8-20,24.82,25.040001,24.75,24.940001,19.873829,124100
2007-8-21,24.9,25.059999,24.790001,24.85,19.802109,233800
2007-8-22,25.110001,25.379999,25.110001,25.379999,20.224447,77500
2007-8-23,25.450001,25.48,25.17,25.33,20.184601,75500
2007-8-24,25.440001,25.77,25.41,25.73,20.503349,136000
2007-8-27,25.75,25.82,25.629999,25.709999,20.48741,38400
2007-8-28,25.74,25.74,25.209999,25.25,20.120853,154000
2007-8-29,25.469999,25.74,25.379999,25.67,20.45554,95400
2007-8-30,25.280001,25.620001,25.219999,25.450001,20.280233,44300
2007-8-31,25.940001,25.950001,25.66,25.709999,20.48741,84900
2007-9-4,25.709999,26.08,25.67,26.040001,20.75038,93800
2007-9-5,25.719999,25.889999,25.690001,25.76,20.527254,41800
2007-9-6,25.68,25.85,25.629999,25.76,20.527254,68000
2007-9-7,25.68,25.879999,25.549999,25.65,20.439604,177900
2007-9-10,25.65,25.700001,25.4,25.5,20.320074,66600
2007-9-11,25.639999,25.790001,25.629999,25.77,20.535225,85300
2007-9-12,25.84,26,25.780001,25.93,20.662724,36900
2007-9-13,26.129999,26.15,25.99,26.030001,20.742411,72500
2007-9-14,25.709999,25.860001,25.709999,25.860001,20.606943,57800
2007-9-17,25.709999,25.790001,25.5,25.639999,20.431635,48500
2007-9-18,25.84,26.459999,25.66,26.32,20.973495,149900
2007-9-19,26.66,26.700001,26.48,26.58,21.180687,135900
2007-9-20,26.639999,26.77,26.49,26.49,21.108969,115300
2007-9-21,26.51,26.65,26.48,26.629999,21.22053,60400
2007-9-24,26.68,26.719999,26.549999,26.549999,21.156784,85500
2007-9-25,26.41,26.610001,26.41,26.57,21.17272,140900
2007-9-26,26.540001,26.67,26.52,26.58,21.180687,314400
2007-9-27,26.790001,26.790001,26.559999,26.690001,21.268343,127200
2007-9-28,26.74,26.92,26.66,26.9,21.43568,162300
2007-10-1,26.85,27.25,26.85,27.200001,21.674746,85900
2007-10-2,27.18,27.23,27.02,27.23,21.698652,389000
2007-10-3,27.18,27.18,27,27.049999,21.555212,594300
2007-10-4,27.08,27.16,27,27.120001,21.610996,76300
2007-10-5,26.870001,27.23,26.870001,27.16,21.64287,713200
2007-10-8,27.07,27.08,26.940001,27.030001,21.539274,82600
