Date,Open,High,Low,Close,Adj Close,Volume
2007-8-3,58.150002,58.669998,56.080002,56.700001,47.602974,3400700
2007-8-6,56.549999,57.290001,55.779999,56.73,47.628147,5809800
2007-8-7,56.73,58.419998,56.240002,58.169998,48.837132,4518900
2007-8-8,59.490002,60.25,58.77,59.650002,50.079678,4784500
2007-8-9,57.52,58.669998,56.389999,57.130001,47.963982,5286000
2007-8-10,56.25,57,55.25,56.540001,47.468651,6118800
2007-8-13,57.709999,58.16,56.830002,56.869999,47.745708,3372500
2007-8-14,57.209999,57.41,55.049999,55.810001,46.855774,6454600
2007-8-15,55,55.830002,52.849998,53.450001,44.87442,7304700
2007-8-16,52.509998,58,49.419998,53.060001,44.546993,10874600
2007-8-17,55,57,52.84,54.849998,46.049793,7070100
2007-8-20,55.560001,55.740002,53.689999,54.259998,45.554447,4365800
2007-8-21,53.75,54.779999,53.509998,54.25,45.546062,3357700
2007-8-22,55.48,56.740002,55.02,56.639999,47.552605,4233400
2007-8-23,57.25,57.349998,56.18,56.880001,47.754097,4751200
2007-8-24,56.669998,58.439999,56.099998,58.209999,48.870712,5325100
2007-8-27,57.900002,58.220001,57.57,58.200001,48.86232,1494500
2007-8-28,57.5,57.700001,55.470001,55.57,46.65427,2974100
2007-8-29,56.119999,57.099998,55.700001,56.990002,47.846451,3201000
2007-8-30,56.02,57.5,56,56.73,47.628147,2410300
2007-8-31,58.360001,58.700001,57.540001,58.450001,49.072197,2610600
2007-9-4,59.470001,59.75,58.509998,59.599998,50.037697,3794700
2007-9-5,59.099998,59.150002,57.43,58.779999,49.349255,2380900
2007-9-6,59.380001,59.470001,58.779999,59.099998,49.617908,1709200
2007-9-7,57.52,58.240002,56.959999,57.34,48.140289,3189300
2007-9-10,57.529999,58,56.209999,56.66,47.569408,3742800
2007-9-11,56.959999,57.84,56.959999,57.720001,48.459328,2449000
2007-9-12,57.84,57.84,57.080002,57.169998,47.997562,3018600
2007-9-13,57.27,58.18,57.27,57.5,48.274628,2268000
2007-9-14,57.349998,57.77,56.900002,57.029999,47.880032,2751400
2007-9-17,56.349998,57.299999,56,56.150002,47.141224,3748900
2007-9-18,57.099998,59,56.419998,58.610001,49.206535,4365300
2007-9-19,59.759998,59.759998,58.25,58.389999,49.021832,4614100
2007-9-20,58.060001,58.849998,57.599998,58.080002,48.76157,2572100
2007-9-21,58.900002,58.900002,57.889999,57.919998,48.627235,2513800
2007-9-24,58.75,58.75,57.849998,58.119999,48.795143,1849100
2007-9-25,57.849998,58.09,56.860001,57.73,48.467724,2797800
2007-9-26,58.049999,59.650002,57.59,57.950001,48.652424,2168000
2007-9-27,58.299999,59,57.889999,58.709999,49.290485,2622500
2007-9-28,57.98,58.790001,57.84,58.790001,49.357655,2368400
2007-10-1,58.52,59.990002,58,59.869999,50.264374,3036700
2007-10-2,59.599998,61.599998,59.599998,61.369999,51.523708,6009000
2007-10-3,60.639999,61.5,60.330002,60.470001,50.768116,3623500
2007-10-4,60.610001,60.849998,59.639999,60.459999,50.759724,2671900
2007-10-5,60.73,61.990002,60.73,61.599998,51.716808,3439100
2007-10-8,61.080002,61.939999,61.029999,61.830002,51.909916,2347900
2007-10-9,61.970001,62.419998,61.650002,62.099998,52.136589,2890700
2007-10-10,61.799999,62.540001,61.619999,62.299999,52.304512,3627200
2007-10-11,62.900002,63.84,61.779999,62.450001,52.430435,7712800
2007-10-12,62.049999,63.66,62.049999,63.66,53.446301,2436000
2007-10-15,63.459999,64,62.48,62.619999,52.573162,2685600
2007-10-16,62.150002,62.689999,61.84,62.619999,52.573162,2457000
2007-10-17,63.330002,63.75,62.400002,63.700001,53.479889,4121000
2007-10-18,63.080002,63.639999,62.779999,63.610001,53.404324,3468000
2007-10-19,63.25,63.34,60.959999,61.200001,51.380985,5539900
2007-10-22,60.150002,61.560001,59.619999,61.130001,51.322224,3379700
2007-10-23,61.720001,62.509998,61.599998,62.490002,52.464016,1878700
2007-10-24,62.169998,62.169998,60.630001,61.919998,51.98547,2652900
2007-10-25,62.080002,62.080002,60.689999,61.349998,51.50692,4998500
2007-10-26,62.34,62.450001,61.560001,62.400002,52.388466,3069100
2007-10-29,62.939999,63.459999,62.400002,62.66,52.606743,5799400
2007-10-30,62.32,62.389999,61.18,61.549999,51.674835,3584100
2007-10-31,62.049999,64.169998,61.200001,61.880001,51.951897,3862000
2007-11-1,60.509998,60.849998,59.709999,60.049999,50.415497,4471700
2007-11-2,60.389999,60.880001,58.700001,59.580002,50.020901,2469500
2007-11-5,58.41,59.02,57.709999,58.400002,49.030228,5069700
2007-11-6,58.990002,59.349998,58.68,59.259998,49.752243,4265300
2007-11-7,58.25,58.740002,57.040001,57.080002,47.922009,6851800
2007-11-8,57.490002,57.869999,55.150002,56.639999,47.552605,6747000
2007-11-9,55.529999,56.299999,54.900002,55.650002,46.721436,4742700
2007-11-12,55.349998,55.650002,53.220001,53.549999,44.958366,5184900
2007-11-13,54.099998,56.84,54.09,56.580002,47.502228,4565600
2007-11-14,57.560001,58.240002,56.700001,57.009998,47.863235,4249800
2007-11-15,56.580002,57.369999,55.66,56.02,47.032074,4603100
2007-11-16,55.919998,56.939999,55.689999,56.810001,47.695328,3621800
2007-11-19,55.73,56.560001,54.369999,54.599998,45.839901,4951700
2007-11-20,56.060001,56.41,54.82,55.77,46.822186,4085500
2007-11-21,54.529999,55.009998,53.889999,53.98,45.31937,6254900
2007-11-23,54.700001,55.68,54.299999,54.650002,45.881882,1164500
2007-11-26,54.84,55.380001,52.93,52.98,44.479816,5067500
2007-11-27,52.98,54.18,52.93,54,45.33617,4033100
2007-11-28,54.639999,56.950001,54.400002,56.43,47.376297,4304000
2007-11-29,56.369999,57.439999,55.880001,56.830002,47.712124,3731800
2007-11-30,57.349998,58.5,57.169998,58.029999,48.719589,3290300
2007-12-3,57.830002,58.240002,56.939999,58.099998,48.778358,2786100
2007-12-4,57.619999,58.43,57.389999,57.860001,48.576862,3674400
2007-12-5,58.599998,59.470001,58.599998,59.400002,49.869785,3831100
2007-12-6,59.509998,60.700001,59.27,60.5,50.793293,3865300
2007-12-7,61,61,60.150002,60.759998,51.011589,2306100
2007-12-10,60.560001,61.049999,60.27,60.689999,50.952827,2061700
2007-12-11,60.540001,61.189999,58.139999,58.310001,48.954666,4394200
2007-12-12,60.23,61.040001,58.080002,59.119999,49.634712,2611000
