Date,Open,High,Low,Close,Adj Close,Volume
2007-8-3,67.279999,67.480003,66.5,66.5,48.191753,107900
2007-8-6,67.300003,67.639999,66.559998,67.559998,48.959911,90500
2007-8-7,67.18,68.360001,67.120003,68.139999,49.380238,59800
2007-8-8,68.139999,69.5,68.139999,68.959999,49.974464,86700
2007-8-9,67.699997,68.739998,67.040001,68.739998,49.815048,17300
2007-8-10,65.779999,66.720001,65.239998,66.260002,48.017822,120600
2007-8-13,66.580002,66.660004,65.760002,65.800003,47.684464,330800
2007-8-14,66.599998,66.599998,65.199997,65.300003,47.322121,67800
2007-8-15,64.360001,65.300003,63.419998,63.700001,46.162621,61900
2007-8-16,63.400002,63.740002,61.740002,63.439999,45.974197,90800
2007-8-17,64.519997,64.839996,63.98,64.699997,46.88731,38300
2007-8-20,64.959999,64.959999,64.279999,64.739998,46.91629,23700
2007-8-21,64.620003,64.940002,64.300003,64.419998,46.684391,144200
2007-8-22,65.699997,66.260002,65.580002,66.260002,48.017822,76500
2007-8-23,66.720001,66.739998,66.019997,66.339996,48.075794,34400
2007-8-24,66.879997,67.959999,66.879997,67.879997,49.191818,26000
2007-8-27,67.32,67.540001,67.040001,67.160004,48.670048,34100
2007-8-28,66.660004,66.720001,65.239998,65.360001,47.365601,21300
2007-8-29,66.580002,67.360001,66.18,67.360001,48.814972,31500
2007-8-30,66.18,67.220001,66.18,66.720001,48.351181,14300
2007-8-31,68,68.080002,67.440002,67.639999,49.017895,23300
2007-9-4,67.18,68.18,67.160004,68.040001,49.307766,150700
2007-9-5,66.839996,66.919998,66.339996,66.580002,48.249722,75600
2007-9-6,66.599998,66.919998,66.18,66.699997,48.336678,145200
2007-9-7,65.699997,66.239998,65.059998,65.660004,47.583008,177500
2007-9-10,66.400002,66.400002,65.360001,65.779999,47.669968,48200
2007-9-11,66.18,66.660004,66.080002,66.639999,48.293209,53900
2007-9-12,66.419998,67.080002,66.419998,66.940002,48.510605,13500
2007-9-13,67.300003,67.699997,67.239998,67.379997,48.829468,42400
2007-9-14,66.580002,67.080002,66.379997,66.919998,48.496113,20200
2007-9-17,66.339996,66.419998,65.980003,66.040001,47.858391,14800
2007-9-18,67.160004,68.980003,66.82,68.800003,49.858528,115800
2007-9-19,69.019997,69.32,68.699997,68.879997,49.916504,83900
2007-9-20,69.139999,69.32,68.800003,69.040001,50.032452,51500
2007-9-21,69.199997,69.480003,69.040001,69.400002,50.293346,37900
2007-9-24,69.580002,69.580002,68.919998,69.019997,50.017956,16300
2007-9-25,68.5,69.18,68.5,69.059998,50.046944,89600
2007-9-26,69.68,69.739998,69.480003,69.540001,50.39481,36800
2007-9-27,70.099998,70.139999,69.599998,70.019997,50.742649,11300
2007-9-28,69.800003,69.959999,69.339996,69.68,50.496246,54600
2007-10-1,69.839996,71.239998,69.839996,71.18,51.58329,37000
2007-10-2,70.599998,70.720001,70.18,70.480003,51.076,41800
2007-10-3,70.300003,70.540001,69.82,69.82,50.597713,229700
2007-10-4,70.5,70.919998,70.199997,70.739998,51.264416,8300
2007-10-5,70.839996,71.419998,70.839996,71.199997,51.597786,36600
2007-10-8,70.580002,70.639999,70.339996,70.5,51.090492,10200
2007-10-9,70.940002,71.559998,70.940002,71.559998,51.858669,39500
2007-10-10,71.419998,71.459999,70.839996,70.980003,51.438351,11300
2007-10-11,71.660004,72.040001,71.139999,71.220001,51.612274,19300
2007-10-12,71.339996,71.839996,71.339996,71.580002,51.873161,27700
2007-10-15,71.660004,71.800003,70.720001,71,51.452843,218200
2007-10-16,70.300003,70.639999,70.18,70.32,50.960049,32300
2007-10-17,70.720001,70.760002,70,70.559998,51.133984,16400
2007-10-18,70.139999,70.779999,70.099998,70.540001,51.119476,9300
2007-10-19,70.360001,70.5,69.459999,69.459999,50.336823,12300
2007-10-22,68.779999,69.32,68.519997,69.139999,50.104919,43700
2007-10-23,69.82,70.139999,69.360001,70.040001,50.757149,65300
2007-10-24,69.519997,69.760002,68.660004,69.660004,50.481766,101300
2007-10-25,70.220001,70.379997,69.839996,70.160004,50.844109,105400
2007-10-26,70.919998,71.459999,70.699997,71.459999,51.786201,15200
