Date,Open,High,Low,Close,Adj Close,Volume
2007-8-3,36.029999,36.209999,35.330002,35.360001,24.288946,130300
2007-8-6,35.580002,35.970001,35.169998,35.970001,24.707956,402300
2007-8-7,35.470001,36,35.360001,35.880001,24.646139,130200
2007-8-8,36.240002,36.5,36.02,36.209999,24.872814,202800
2007-8-9,34.639999,35.619999,34.279999,35.619999,24.467537,924700
2007-8-10,34.200001,34.5,33.560001,34.25,23.526484,670100
2007-8-13,34.689999,34.740002,34.119999,34.119999,23.437183,143800
2007-8-14,34.5,34.650002,33.740002,33.830002,23.23798,224200
2007-8-15,32.970001,33.57,32.169998,32.5,22.324398,402700
2007-8-16,32.029999,32.5,31.43,32.5,22.324398,603800
2007-8-17,33.189999,33.5,32.380001,33.139999,22.764011,176700
2007-8-20,33.290001,33.34,32.790001,33.18,22.791492,102600
2007-8-21,32.790001,33.040001,32.669998,32.73,22.482384,305900
2007-8-22,33.490002,33.900002,33.459999,33.900002,23.286064,193700
2007-8-23,34.049999,34.150002,33.650002,33.970001,23.334148,287700
2007-8-24,34.310001,35.040001,34.220001,35.02,24.055399,254200
2007-8-27,34.610001,34.669998,34.23,34.23,23.512743,90100
2007-8-28,34.009998,34.009998,32.990002,33.060001,22.709064,92100
2007-8-29,33.529999,34.43,33.419998,34.380001,23.615778,1278000
2007-8-30,33.580002,34.380001,33.580002,34.029999,23.375362,54800
2007-8-31,34.66,34.810001,34.25,34.599998,23.766895,252600
2007-9-4,34.259998,35.049999,34.259998,34.84,23.931751,364600
2007-9-5,34.32,34.389999,34.040001,34.240002,23.519611,215900
2007-9-6,34.459999,34.529999,34.099998,34.279999,23.547085,152900
2007-9-7,33.619999,33.880001,33.310001,33.52,23.02504,201800
2007-9-10,33.630001,33.68,33.02,33.380001,22.928873,181800
2007-9-11,33.880001,34.290001,33.880001,34.23,23.512743,106600
2007-9-12,34.23,34.810001,34.23,34.639999,23.794371,226900
2007-9-13,35.09,35.32,34.970001,35.150002,24.144695,160500
2007-9-14,34.689999,35.029999,34.560001,34.849998,23.938625,141500
2007-9-17,34.43,34.470001,33.91,34.07,23.402838,201600
2007-9-18,34.43,35.689999,34.23,35.52,24.398848,131000
2007-9-19,36.139999,36.32,35.990002,36.040001,24.756039,348700
