Date,Open,High,Low,Close,Adj Close,Volume
2007-8-3,46,46.080002,43.639999,43.919998,29.780422,1531000
2007-8-6,43.799999,45.040001,42.639999,44.959999,30.485601,1287600
2007-8-7,43.880001,44.880001,43.599998,44.599998,30.241499,816300
2007-8-8,45.119999,45.919998,45.119999,45.759998,31.028044,654700
2007-8-9,44.32,45.16,43.720001,43.959999,29.807537,1199000
2007-8-10,43.639999,44.200001,42.360001,44.16,29.943161,1607900
2007-8-13,44.48,44.599998,44,44,29.834665,513100
2007-8-14,44.240002,44.240002,42.959999,43.080002,29.210848,463700
2007-8-15,42.200001,43.200001,41.279999,41.400002,28.071703,951600
2007-8-16,39.880001,41.279999,38.200001,40.880001,27.71912,1691300
2007-8-17,42.080002,43.84,41.759998,43.119999,29.237961,2276700
2007-8-20,43.439999,43.599998,42.119999,43.119999,29.237961,775400
2007-8-21,42.400002,42.880001,42.200001,42.360001,28.722643,518400
2007-8-22,43.599998,44.200001,43.400002,44.16,29.943161,1255600
2007-8-23,45.400002,45.400002,43.84,44.52,30.187256,1462700
2007-8-24,44.32,45.240002,44.040001,45,30.512724,598800
2007-8-27,44.32,44.560001,44,44.200001,29.970278,358500
2007-8-28,43.919998,44,43,43.200001,29.292212,335000
2007-8-29,43.599998,44.799999,43.400002,44.48,30.160124,541100
2007-8-30,44,44.599998,43.279999,43.919998,29.780422,460400
2007-8-31,44.68,45.16,44.200001,44.32,30.051641,308400
2007-9-4,44.68,45.48,44.32,45,30.512724,873200
2007-9-5,44.48,45,44.200001,44.799999,30.377119,368200
2007-9-6,44.880001,45.240002,44.84,44.959999,30.485601,263100
2007-9-7,44.16,44.799999,43.880001,44.799999,30.377119,754500
2007-9-10,44.400002,44.599998,43.759998,44.560001,30.214386,320000
2007-9-11,44.84,45.32,44,45.080002,30.566967,408600
2007-9-12,44.400002,45.240002,44.400002,44.720001,30.322868,125300
2007-9-13,45.119999,45.720001,44.919998,45.720001,31.000929,299900
2007-9-14,45,45.400002,44.720001,45.119999,30.594086,151200
2007-9-17,44.32,44.84,44.080002,44.439999,30.133011,331700
2007-9-18,45.52,46.599998,44.52,46.439999,31.489136,1151400
2007-9-19,46.959999,46.959999,46.040001,46.360001,31.434879,673800
2007-9-20,46.400002,46.720001,46.040001,46.119999,31.27215,340800
2007-9-21,46.080002,46.639999,45.959999,46.200001,31.326395,287200
2007-9-24,46.799999,47.48,46.799999,47.279999,32.058693,443800
2007-9-25,47.400002,47.400002,46.32,47.279999,32.058693,217500
2007-9-26,47.360001,47.360001,46.919998,47.040001,31.895962,382600
2007-9-27,47.759998,47.799999,47.279999,47.48,32.194313,687800
2007-9-28,48,48,47.080002,47.560001,32.248554,635300
2007-10-1,47.919998,48.799999,47.880001,48.48,32.872372,522700
2007-10-2,48.919998,48.919998,48.360001,48.880001,33.143597,1193600
2007-10-3,48.560001,48.799999,47.919998,48.16,32.655396,426800
2007-10-4,48.279999,48.720001,48.16,48.439999,32.845249,781800
2007-10-5,48.880001,49.48,48.639999,49.279999,33.414825,889700
2007-10-8,48.639999,48.639999,48.080002,48.560001,32.926613,396300
2007-10-9,49.16,49.32,48.880001,49.119999,33.306328,612500
2007-10-10,49.32,49.68,48.880001,49.599998,33.631802,491400
2007-10-11,50.119999,50.32,48.959999,49.32,33.441948,2068700
2007-10-12,49.279999,50.279999,49.279999,49.68,33.686047,492100
2007-10-15,49.880001,50,48.599998,49,33.224957,414400
2007-10-16,49,49,48.16,48.439999,32.845249,521400
2007-10-17,49.400002,49.799999,48.52,49.040001,33.252087,252500
2007-10-18,48.84,49.759998,48.759998,49.560001,33.604683,216700
2007-10-19,49.360001,49.439999,48,48.119999,32.628277,247900
2007-10-22,47.919998,48.919998,47.200001,48.599998,32.953735,732700
2007-10-23,49.799999,49.799999,48.720001,48.919998,33.170712,897400
2007-10-24,48.080002,49.279999,47.119999,48.720001,33.03511,370900
2007-10-25,49.759998,50.040001,49.040001,49.360001,33.469063,310700
2007-10-26,50.799999,51.560001,50.799999,51.52,34.933678,397700
2007-10-29,51.959999,51.959999,51.52,51.52,34.933678,524200
2007-10-30,51.759998,51.759998,51.240002,51.400002,34.852314,306400
2007-10-31,51.880001,52.439999,50.84,52.439999,35.557491,416400
2007-11-1,50.880001,51.080002,50,50.360001,34.147125,606900
2007-11-2,51.119999,51.200001,49.880001,51.200001,34.716694,439800
2007-11-5,50.080002,51,49.279999,50.360001,34.147125,3327100
2007-11-6,50.959999,51.599998,50.759998,51.560001,34.960789,1582600
2007-11-7,52.040001,52.279999,50.68,51.16,34.689575,992300
2007-11-8,51.599998,51.599998,49.880001,50.799999,34.445477,1739900
2007-11-9,49.959999,51.400002,49.959999,51.040001,34.608204,538500
2007-11-12,50.759998,50.959999,49.200001,49.84,33.79454,534100
2007-11-13,50.560001,51.959999,50.560001,51.84,35.150658,1026900
2007-11-14,51.560001,51.560001,50.080002,50.799999,34.445477,676000
2007-11-15,49.919998,50.599998,49.400002,49.48,33.550438,667500
2007-11-16,50.16,50.32,49.599998,50.279999,34.09288,414800
2007-11-19,51.68,51.68,48.880001,49.639999,33.65892,600000
2007-11-20,49.48,50.279999,49,49.52,33.577553,447000
2007-11-21,48.560001,48.919998,47.799999,48.48,32.872372,672600
2007-11-23,48.439999,49.52,48.439999,49.279999,33.414825,229700
2007-11-26,49.599998,49.799999,48.439999,48.439999,32.845249,563200
2007-11-27,48.599998,50,48.599998,50,33.903019,412700
2007-11-28,50.16,51.720001,49.759998,51.400002,34.852314,462000
2007-11-29,50.720001,50.720001,49.880001,49.880001,33.821651,556700
2007-11-30,50.639999,51.16,49.599998,50,33.903019,633000
2007-12-3,50.48,51.119999,50.48,50.84,34.472591,343000
2007-12-4,50.919998,51.639999,50.119999,50.799999,34.445477,3455700
2007-12-5,51.400002,51.799999,51.080002,51.759998,35.096416,926900
2007-12-6,51.599998,52.720001,51.599998,52.639999,35.693108,1327300
2007-12-7,52.040001,52.639999,51.84,51.919998,35.204899,739000
2007-12-10,51.759998,52.720001,51.599998,52,35.259155,789800
2007-12-11,52.32,52.799999,51.439999,51.599998,34.987915,1594100
2007-12-12,53,53,51.560001,51.84,35.150658,556300
2007-12-13,51.799999,52,50.959999,51.599998,34.987915,498800
2007-12-14,50.32,51.200001,50.32,50.639999,34.336983,486800
2007-12-17,50.080002,50.68,49.400002,49.48,33.550438,550600
2007-12-18,50.360001,50.360001,49.439999,50.16,34.011513,322500
2007-12-19,49.759998,50.52,49.639999,49.799999,33.76741,359900
2007-12-20,49.119999,49.119999,48.200001,48.279999,33.840298,476300
2007-12-21,49.560001,49.880001,49.16,49.560001,34.737488,430100
2007-12-24,51.040001,51.040001,49.84,50.400002,35.326244,151700
2007-12-26,50.52,50.919998,49.919998,49.919998,34.989811,997300
2007-12-27,50.599998,51.119999,50.599998,50.919998,35.690731,253600
2007-12-28,51.200001,51.759998,50.799999,50.799999,35.606613,168600
2007-12-31,51.52,51.68,50.68,50.919998,35.690731,200300
2008-1-2,51,51.560001,50,50,35.045887,370000
2008-1-3,51.52,51.880001,51.119999,51.119999,35.83091,547900
2008-1-4,52,52.400002,51.360001,51.639999,36.195393,583200
2008-1-7,52.799999,53.080002,52.560001,52.84,37.036499,1253500
2008-1-8,53.720001,54.68,53.599998,53.759998,37.681335,1681500
2008-1-9,53.919998,55.240002,53.919998,54.759998,38.382256,2989100
2008-1-10,53.880001,56,53.880001,55.599998,38.971027,3957800
2008-1-11,55.400002,56.16,55.400002,55.639999,38.999058,1299400
2008-1-14,56.16,56.200001,55.48,56.040001,39.279434,1098400
2008-1-15,55.279999,55.48,54.279999,54.759998,38.382256,2038700
2008-1-16,52.799999,53.639999,51.799999,53.119999,37.23275,1741300
2008-1-17,53.080002,53.52,51.360001,51.880001,36.363609,1781300
2008-1-18,51.959999,52.560001,50.759998,52.080002,36.503803,1253200
2008-1-22,48.560001,51.040001,46.959999,50.439999,35.354282,2548900
2008-1-23,48.400002,51.639999,47.400002,50.84,35.634659,1778200
2008-1-24,50.48,51.919998,49.880001,50.720001,35.550545,1341000
2008-1-25,52,52.48,50.720001,51.080002,35.802876,1053700
2008-1-28,51,51.799999,50.400002,51.799999,36.307533,1126600
2008-1-29,50.880001,51.84,50.759998,51.439999,36.055206,1456600
2008-1-30,50.84,52.439999,50.599998,50.84,35.634659,747800
2008-1-31,50.880001,52.720001,50.68,52.279999,36.643974,786100
2008-2-1,51.959999,53.599998,51.880001,52.919998,37.092564,1352200
2008-2-4,53.240002,53.240002,52.119999,52.400002,36.728092,970700
2008-2-5,52.439999,52.759998,51.400002,51.84,36.335571,1106100
2008-2-6,52,52.52,51.52,51.720001,36.251461,699100
2008-2-7,51.400002,52.16,51,51.880001,36.363609,495000
2008-2-8,52.200001,52.599998,51.599998,51.880001,36.363609,973700
2008-2-11,51.599998,52.759998,51.599998,52.439999,36.756134,487300
2008-2-12,53,53.400002,52.560001,53.119999,37.23275,799800
2008-2-13,53.279999,54.200001,52.759998,54.080002,37.905636,1779900
2008-2-14,54.119999,54.200001,52.799999,53.040001,37.176678,1367300
2008-2-15,52.919998,53.16,52.48,52.880001,37.064529,1500000
2008-2-19,52.799999,53.560001,52.599998,53.119999,37.23275,1048400
2008-2-20,52.360001,53.080002,52.119999,52.959999,37.120602,541100
2008-2-21,52.599998,52.599998,50.880001,51.16,35.858955,1747600
2008-2-22,50.560001,51.16,50.240002,51.119999,35.83091,675600
2008-2-25,50.52,51.52,50.080002,51.279999,35.943058,1716700
2008-2-26,50.639999,51.959999,50.639999,51.52,36.111286,796300
2008-2-27,51.279999,52,51.240002,51.52,36.111286,1120200
2008-2-28,51.119999,51.360001,50.48,51.16,35.858955,536300
2008-2-29,50.52,50.639999,49.68,50.119999,35.129997,1039500
2008-3-3,49.32,49.720001,48.84,49.52,34.709454,1284300
2008-3-4,48.400002,49.040001,47.799999,49,34.344971,1786600
2008-3-5,47.919998,48.599998,47.84,48.32,33.868351,1173700
2008-3-6,48.799999,49.119999,47.279999,47.919998,33.587978,2597400
2008-3-7,47.799999,48.400002,47.200001,47.84,33.531898,1267300
2008-3-10,43.200001,43.48,41.400002,42.279999,29.634798,3694300
2008-3-11,44.799999,46.080002,43.959999,46.080002,32.298286,1911400
2008-3-12,45.639999,46.080002,45,45.599998,31.961845,1175500
2008-3-13,44.240002,46,44.040001,45.439999,31.849695,2055100
2008-3-14,45.16,45.16,43.799999,44.48,31.176813,1073100
2008-3-17,42.68,44.560001,42.68,43.84,30.728228,767600
2008-3-18,44.799999,45.880001,44.52,45,31.541296,900500
2008-3-19,44.720001,45,43.560001,43.560001,30.531977,693900
2008-3-20,43.880001,45.639999,43.400002,45.080002,31.59737,1793600
2008-3-24,44.639999,46,44.52,45.799999,32.102028,1039400
2008-3-25,46.439999,46.959999,46.119999,46.52,32.606693,1122200
2008-3-26,46.759998,47.240002,46.400002,46.720001,32.746876,1099600
2008-3-27,47.16,47.360001,46.52,46.720001,32.746876,713200
2008-3-28,47.200001,47.639999,46.68,46.68,32.718838,1120100
2008-3-31,46.720001,47.400002,46.720001,47.400002,33.223492,539000
2008-4-1,47.639999,48,47.240002,47.919998,33.587978,710600
2008-4-2,47.400002,47.400002,46.360001,47.040001,32.971169,617100
2008-4-3,46.080002,46.360001,45.68,46.080002,32.298286,769300
2008-4-4,45.639999,45.919998,45.32,45.560001,31.933805,1390500
2008-4-7,45.52,45.880001,45.32,45.560001,31.933805,721300
2008-4-8,45.52,46.080002,45.52,45.919998,32.186146,981300
2008-4-9,46,46.400002,45.759998,45.919998,32.186146,409800
2008-4-10,47.240002,48,47.080002,47.32,33.167423,823100
2008-4-11,47.040001,47.240002,46.439999,46.880001,32.859032,697600
2008-4-14,46.16,46.68,46.080002,46.080002,32.298286,506600
2008-4-15,46.880001,47.119999,46.52,47.119999,33.027245,554600
2008-4-16,47.400002,47.919998,47.240002,47.799999,33.50386,1102100
2008-4-17,47.279999,47.759998,47.240002,47.32,33.167423,1135400
2008-4-18,48.040001,48.360001,47.799999,48.040001,33.672085,1353100
2008-4-21,48.400002,48.720001,48.040001,48.360001,33.896381,422600
2008-4-22,48.599998,48.599998,47.919998,48.439999,33.952454,650700
2008-4-23,48.799999,49.119999,48.439999,48.880001,34.26086,404800
2008-4-24,49.080002,49.599998,48.720001,49.080002,34.401043,410600
2008-4-25,48.84,48.880001,48.279999,48.720001,34.148712,352400
2008-4-28,48.639999,49.080002,48.400002,48.639999,34.092636,1622700
2008-4-29,48.279999,48.360001,47.959999,48.080002,33.70013,387400
2008-4-30,47.68,48.32,47.400002,47.759998,33.475826,725000
2008-5-1,47.880001,48.560001,47.759998,48.48,33.980488,917800
2008-5-2,48.400002,48.400002,47.48,47.799999,33.50386,402200
2008-5-5,47.560001,48.200001,47.560001,48,33.644051,394900
2008-5-6,47.799999,48.279999,47.599998,48.240002,33.812271,966400
2008-5-7,47.880001,48.200001,47.200001,47.400002,33.223492,720800
2008-5-8,47.16,47.360001,46.799999,47.200001,33.083317,716100
2008-5-9,47.200001,47.52,46.84,46.919998,32.887062,926700
2008-5-12,47.119999,47.759998,47.119999,47.720001,33.447788,606300
2008-5-13,47.32,47.560001,46.84,46.84,32.830986,423000
2008-5-14,46.799999,47,46.52,46.599998,32.662769,553900
2008-5-15,46.599998,47.119999,46.48,47.119999,33.027245,733200
2008-5-16,47.400002,47.68,47.16,47.639999,33.391727,715300
2008-5-19,47.720001,47.720001,47.119999,47.240002,33.111359,1501600
2008-5-20,46.48,46.799999,46.240002,46.360001,32.494541,818600
2008-5-21,46.52,46.759998,46.080002,46.240002,32.410439,1084400
2008-5-22,46.48,46.759998,46.16,46.439999,32.550617,2126200
2008-5-23,46.32,46.400002,45.759998,46.200001,32.382401,1857400
2008-5-27,46.200001,46.48,45.84,46.279999,32.438469,898600
2008-5-28,45.84,46.119999,45.439999,46.080002,32.298286,1010800
2008-5-29,45.560001,45.959999,45.439999,45.68,32.017918,1215600
2008-5-30,46.400002,46.639999,46.279999,46.52,32.606693,873400
2008-6-2,46.040001,46.279999,45.599998,46,32.242214,575600
2008-6-3,45.759998,45.880001,45.52,45.560001,31.933805,880500
2008-6-4,45.119999,45.240002,43.919998,44.16,30.952526,2217500
2008-6-5,43.84,44.400002,43.720001,44.32,31.064674,1088500
2008-6-6,44,44.32,43.599998,43.880001,30.756269,1411900
2008-6-9,43.68,44.119999,43.52,44,30.84038,590500
2008-6-10,43.84,44.119999,43.599998,43.959999,30.812346,889800
2008-6-11,43.400002,44.119999,43.240002,43.279999,30.335714,742200
2008-6-12,43.560001,44.200001,43.400002,43.759998,30.67215,1955500
2008-6-13,44,44.279999,43.68,43.68,30.616083,609300
2008-6-16,44.040001,44.599998,44.040001,44.48,31.176813,472300
2008-6-17,44.799999,44.799999,43.759998,43.84,30.728228,1115900
2008-6-18,43.200001,43.52,42.880001,43.240002,30.30769,806000
2008-6-19,42.799999,42.959999,42.599998,42.959999,30.111427,442100
2008-6-20,42.959999,43.040001,42.240002,42.560001,29.831062,560600
2008-6-23,42.759998,42.84,42.32,42.639999,29.887129,298600
2008-6-24,42.880001,43.080002,42.52,42.68,29.915171,429400
2008-6-25,41.959999,42.759998,41.919998,42.599998,30.438189,844400
2008-6-26,42,42.040001,41.040001,41.200001,29.437878,755900
2008-6-27,41.32,41.880001,41.32,41.52,29.666523,345800
2008-6-30,41.400002,41.84,41.400002,41.599998,29.723679,291400
2008-7-1,40.639999,41.279999,40.560001,41.200001,29.437878,563200
2008-7-2,40.439999,40.599998,39.52,39.599998,28.294659,1021600
2008-7-3,40.16,40.439999,38.439999,39.279999,28.066015,1179500
2008-7-7,39.639999,39.759998,39,39.16,27.980274,646000
2008-7-8,39.200001,39.799999,39,39.599998,28.294659,803000
2008-7-9,40.119999,40.439999,39.68,39.84,28.466139,579300
2008-7-10,39.84,40.16,39.639999,40.040001,28.609043,393500
2008-7-11,40,40.759998,39.919998,40.439999,28.894846,628300
2008-7-14,40.639999,40.720001,40.240002,40.439999,28.894846,624300
2008-7-15,39.759998,40.279999,39.360001,39.68,28.351816,860800
2008-7-16,39.200001,40.360001,39.200001,40.240002,28.751951,493000
2008-7-17,39.959999,40.16,39.599998,39.84,28.466139,693400
2008-7-18,39.240002,39.360001,38.799999,38.919998,27.80879,714100
2008-7-21,38.880001,39.32,38.880001,39.279999,28.066015,260900
2008-7-22,39.200001,39.48,38.959999,39.32,28.094595,726400
2008-7-23,40,40.720001,39.919998,40.52,28.952013,880500
2008-7-24,40.16,40.400002,39.759998,40.040001,28.609043,878600
2008-7-25,40.240002,40.599998,40.119999,40.439999,28.894846,228400
2008-7-28,40.400002,40.720001,40.040001,40.360001,28.837681,140700
2008-7-29,40.52,40.959999,40.52,40.919998,29.23781,130700
2008-7-30,41.32,41.360001,40.799999,41.360001,29.552202,404600
2008-7-31,41.040001,41.279999,40.639999,40.919998,29.23781,279400
2008-8-1,41.279999,41.279999,40.799999,41.080002,29.35214,350700
2008-8-4,40.639999,40.880001,40.240002,40.48,28.923431,356300
2008-8-5,40.400002,40.599998,39.919998,40.400002,28.866268,269300
2008-8-6,40.119999,40.32,39.759998,40,28.580465,236800
2008-8-7,39.400002,39.720001,39.200001,39.32,28.094595,311800
2008-8-8,39.080002,39.599998,38.880001,39.400002,28.151754,764300
2008-8-11,39.279999,39.720001,39.279999,39.599998,28.294659,188000
2008-8-12,38.639999,38.84,38.48,38.68,27.637304,357600
2008-8-13,38.759998,38.959999,38.360001,38.52,27.522978,301600
2008-8-14,38.080002,38.639999,38.080002,38.279999,27.351509,513200
2008-8-15,37.599998,37.639999,37.200001,37.279999,26.636986,141200
2008-8-18,37.16,37.200001,36.880001,37.040001,26.465506,600400
2008-8-19,36.439999,36.560001,36.200001,36.240002,25.893896,596200
2008-8-20,36.880001,37.040001,36.599998,36.959999,26.408344,246800
2008-8-21,36.68,36.919998,36.52,36.759998,26.265448,335700
2008-8-22,37.279999,37.759998,37.279999,37.68,26.922789,117700
2008-8-25,36.639999,36.759998,36.040001,36.040001,25.750994,271500
2008-8-26,36.360001,36.599998,36.080002,36.279999,25.922474,290500
2008-8-27,36.080002,36.560001,36.080002,36.360001,25.979643,271300
2008-8-28,36.48,36.84,36.32,36.84,26.322601,235500
2008-8-29,37.279999,37.68,37.119999,37.240002,26.60841,213000
2008-9-2,36.799999,36.959999,36.040001,36.119999,25.808155,318200
2008-9-3,36.16,36.360001,35.799999,36.16,25.836737,560000
2008-9-4,36.200001,36.439999,35.400002,35.560001,25.408033,1273400
2008-9-5,35.200001,36,34.959999,35.84,25.608095,1125000
2008-9-8,36.84,36.84,35.560001,36.080002,25.779579,566700
2008-9-9,35.48,35.720001,35.040001,35.119999,25.093645,544700
2008-9-10,35.68,35.720001,35.119999,35.360001,25.265125,499000
2008-9-11,34.84,35.040001,34.200001,35,25.007906,402900
2008-9-12,34.799999,35.720001,34.639999,35.400002,25.293713,458500
2008-9-15,34.400002,35.279999,34.279999,34.360001,24.550615,755900
2008-9-16,33.32,34.720001,33,33,23.578882,854900
2008-9-17,33.279999,34.040001,32.040001,32.16,22.978687,973100
2008-9-18,32.439999,34.240002,32.400002,33.68,24.064751,749400
2008-9-19,35.32,35.68,33.439999,35.439999,25.322287,312700
2008-9-22,35,36,34.599998,34.599998,24.722097,165400
2008-9-23,34.84,35.040001,33.959999,34.48,24.636354,546300
2008-9-24,34.68,34.959999,34.48,34.799999,24.865005,170600
2008-9-25,34.68,35.439999,34.560001,35.439999,25.322287,383900
2008-9-26,34.360001,35,34.32,35,25.007906,188500
2008-9-29,34,34.360001,32.400002,33.080002,23.636042,316000
2008-9-30,34.119999,34.720001,33.599998,34.639999,24.750673,376900
2008-10-1,34.080002,34.919998,33.759998,34.400002,24.579197,250400
2008-10-2,34.080002,34.119999,33.240002,33.32,23.807524,280100
