Date,Open,High,Low,Close,Adj Close,Volume
2007-8-3,26.290001,26.379999,25.889999,25.9,18.287142,111900
2007-8-6,26.08,26.370001,25.870001,26.360001,18.611935,60400
2007-8-7,26.08,26.549999,26.059999,26.389999,18.63311,62600
2007-8-8,26.379999,26.5,26.190001,26.32,18.583687,55600
2007-8-9,25.129999,25.799999,25,25.799999,18.216528,332700
2007-8-10,24.92,25.35,24.700001,25.25,17.828194,194600
2007-8-13,25.549999,25.57,24.99,24.99,17.644621,89500
2007-8-14,25.26,25.26,24.68,24.709999,17.446917,337100
2007-8-15,24.43,24.719999,24.030001,24.059999,16.987972,305100
2007-8-16,23.92,24.1,23.35,24.1,17.016222,280200
2007-8-17,24.629999,24.92,24.26,24.5,17.298645,122300
2007-8-20,24.82,24.82,24.41,24.58,17.355131,76400
2007-8-21,24.629999,24.709999,24.469999,24.5,17.298645,41100
2007-8-22,24.92,25.17,24.870001,25.16,17.764647,111400
2007-8-23,25.4,25.41,25.030001,25.110001,17.729349,143100
2007-8-24,25.32,25.860001,25.32,25.77,18.195349,45000
2007-8-27,25.690001,25.690001,25.5,25.51,18.011772,25400
2007-8-28,25.299999,25.370001,24.790001,24.950001,17.616377,397700
2007-8-29,25.18,25.620001,25.18,25.6,18.075319,56300
2007-8-30,25.35,25.690001,25.35,25.530001,18.025894,41800
2007-8-31,25.99,26,25.76,25.9,18.287142,94300
2007-9-4,25.940001,26.459999,25.940001,26.280001,18.555447,136900
2007-9-5,26.059999,26.139999,25.92,26.059999,18.400106,73700
2007-9-6,25.959999,26.190001,25.82,26.120001,18.442478,294100
2007-9-7,25.879999,25.959999,25.629999,25.709999,18.152985,366600
2007-9-10,25.719999,25.74,25.35,25.540001,18.032953,39600
2007-9-11,25.709999,25.98,25.700001,25.959999,18.329504,52900
2007-9-12,25.870001,26,25.780001,25.870001,18.265961,33400
2007-9-13,26.040001,26.1,25.940001,26,18.357746,28600
2007-9-14,25.719999,25.91,25.65,25.780001,18.202414,44400
2007-9-17,25.559999,25.629999,25.370001,25.43,17.955286,97900
2007-9-18,25.75,26.559999,25.610001,26.469999,18.689594,81200
