Date,Open,High,Low,Close,Adj Close,Volume
2007-8-3,34.169998,34.310001,33.669998,33.68,28.118111,4094700
2007-8-6,33.84,34.490002,33.84,34.34,28.669117,3419300
2007-8-7,34.290001,34.790001,34.27,34.5,28.802704,1435200
2007-8-8,34.599998,34.900002,34.450001,34.900002,29.136648,2436400
2007-8-9,34.5,34.759998,34.049999,34.080002,28.452057,2228400
2007-8-10,33.880001,34.119999,33.619999,33.900002,28.301783,2373300
2007-8-13,34.119999,34.360001,34,34,28.385271,2071000
2007-8-14,34.189999,34.200001,33.689999,33.720001,28.151505,1358700
2007-8-15,33.700001,34.139999,33.560001,33.639999,28.084717,2001100
2007-8-16,33.279999,33.720001,32.939999,33.650002,28.093069,3455600
2007-8-17,34.400002,34.400002,33.389999,33.73,28.159851,1859200
2007-8-20,33.919998,34.029999,33.68,33.889999,28.293444,1554900
2007-8-21,33.790001,34.049999,33.73,33.98,28.36857,1559200
2007-8-22,34.09,34.200001,33.970001,34.150002,28.510504,2742800
2007-8-23,34.23,34.439999,34.139999,34.369999,28.694164,6065200
2007-8-24,34.299999,34.580002,34.220001,34.580002,28.869486,4721600
2007-8-27,34.459999,34.549999,34.34,34.34,28.669117,741500
2007-8-28,34.34,34.360001,33.880001,33.990002,28.376913,1447900
2007-8-29,34,34.34,33.860001,34.240002,28.58564,1300100
2007-8-30,34.139999,34.439999,34.139999,34.240002,28.58564,1152300
2007-8-31,34.490002,34.66,34.34,34.400002,28.719217,1085200
2007-9-4,34.509998,34.82,34.490002,34.700001,28.969681,896400
2007-9-5,34.630001,34.689999,34.439999,34.630001,28.911232,868200
2007-9-6,34.610001,34.860001,34.540001,34.740002,29.003065,2101200
2007-9-7,34.43,34.700001,34.220001,34.369999,28.694164,2286100
2007-9-10,34.400002,34.529999,34.189999,34.400002,28.719217,1057700
2007-9-11,34.490002,34.720001,34.369999,34.66,28.936275,864300
2007-9-12,34.669998,34.939999,34.639999,34.810001,29.061514,1213100
2007-9-13,35.07,35.139999,34.889999,34.889999,29.128296,889500
2007-9-14,35,35,34.709999,34.790001,29.044809,1140200
2007-9-17,34.709999,34.799999,34.470001,34.68,28.952976,2763000
2007-9-18,34.669998,35.310001,34.650002,35.299999,29.470585,2328700
2007-9-19,35.439999,35.669998,35.349998,35.439999,29.587467,1623600
2007-9-20,35.48,35.630001,35.330002,35.400002,29.55407,1046300
2007-9-21,35.439999,35.52,35.400002,35.450001,29.699007,1371400
2007-9-24,35.32,35.459999,35.27,35.380001,29.640362,1385100
2007-9-25,35.32,35.43,35.209999,35.259998,29.539829,1824300
2007-9-26,35.369999,35.59,35.330002,35.459999,29.707386,751700
2007-9-27,35.66,35.66,35.470001,35.599998,29.824675,822600
2007-9-28,35.529999,35.610001,35.279999,35.349998,29.615232,1069200
2007-10-1,35.5,35.889999,35.48,35.889999,30.067635,8322000
2007-10-2,35.900002,35.98,35.560001,35.689999,29.900076,2193700
2007-10-3,35.720001,35.830002,35.540001,35.830002,30.017361,1216700
2007-10-4,35.82,36.040001,35.790001,35.790001,29.983862,1037800
2007-10-5,36.009998,36.25,35.959999,36.25,30.369219,1831200
2007-10-8,36.16,36.209999,35.98,36,30.159784,783600
2007-10-9,36.18,36.299999,36.049999,36.299999,30.41111,473500
2007-10-10,36.299999,36.360001,36.189999,36.360001,30.461386,1435100
2007-10-11,36.380001,36.389999,35.970001,36.049999,30.201668,4141900
2007-10-12,36.119999,36.25,36,36.25,30.369219,1450300
2007-10-15,36.200001,36.389999,35.700001,35.860001,30.042505,2198300
2007-10-16,35.799999,35.830002,35.529999,35.59,29.816298,3103000
2007-10-17,35.950001,35.950001,35.369999,35.619999,29.841434,2439900
2007-10-18,35.23,35.860001,35.23,35.630001,29.849796,1320500
2007-10-19,35.610001,35.650002,35.18,35.200001,29.489563,1611200
2007-10-22,34.950001,35.200001,34.82,35.200001,29.489563,1972000
2007-10-23,35.23,35.610001,35.189999,35.610001,29.833055,2164500
2007-10-24,35.48,35.490002,34.970001,35.349998,29.615232,3290700
2007-10-25,35.09,35.619999,35.09,35.560001,29.791162,2067400
2007-10-26,34.759998,35.740002,34.759998,35.68,29.891705,920400
2007-10-29,35.759998,35.860001,35.68,35.830002,30.017361,839400
2007-10-30,35.709999,35.880001,35.689999,35.790001,29.983862,1220700
2007-10-31,34.900002,36.099998,34.900002,36.009998,30.168165,1654600
2007-11-1,36.009998,36.080002,35.439999,35.509998,29.749273,2415500
2007-11-2,35.400002,35.619999,35.220001,35.41,29.665495,2411100
2007-11-5,35.41,35.73,35.16,35.389999,29.648739,2653000
2007-11-6,35.34,35.580002,35.029999,35.580002,29.807928,1337400
2007-11-7,35.869999,35.869999,34.77,34.77,29.129324,2126000
2007-11-8,34.189999,35.110001,34.189999,35,29.322012,3631800
2007-11-9,34.139999,35.349998,34.139999,34.91,29.246613,3258800
2007-11-12,34.029999,35.419998,34.029999,35,29.322012,2366000
2007-11-13,34.959999,35.580002,34.959999,35.459999,29.707386,3230200
2007-11-14,35.490002,35.759998,35.330002,35.599998,29.824675,2512500
2007-11-15,35.220001,35.75,35.220001,35.380001,29.640362,2426000
2007-11-16,35.5,35.630001,35.299999,35.540001,29.774414,2116400
2007-11-19,35.599998,35.599998,35.209999,35.34,29.606853,1725100
2007-11-20,35.669998,35.669998,35.060001,35.41,29.665495,3843100
2007-11-21,34.970001,35.23,34.619999,34.619999,29.003658,2262600
2007-11-23,34.68,35.279999,34.68,35.18,29.472813,1331200
2007-11-26,35.5,35.5,34.889999,34.91,29.246613,2070800
2007-11-27,35.41,35.700001,34.700001,35.360001,29.623606,2117100
2007-11-28,35.869999,36.369999,35.610001,36.200001,30.327328,1808900
2007-11-29,35.77,36.43,35.560001,36.419998,30.511644,5502200
2007-11-30,36.5,36.580002,36.34,36.470001,30.553532,2469400
2007-12-3,36.830002,36.830002,36.169998,36.240002,30.360851,1649900
