Date,Open,High,Low,Close,Adj Close,Volume
2007-8-3,25.91,25.959999,25.35,25.35,21.453569,2658000
2007-8-6,25.52,25.76,25.290001,25.75,21.792086,2492500
2007-8-7,25.68,25.950001,25.379999,25.799999,21.834398,2657000
2007-8-8,25.98,26.200001,25.860001,26.200001,22.172926,5281300
2007-8-9,25.84,26.4,25.41,25.6,21.66515,3686600
2007-8-10,25.23,25.540001,24.93,25.24,21.360476,4870400
2007-8-13,25.6,25.68,25.43,25.59,21.656681,2660900
2007-8-14,25.610001,25.65,24.950001,25.07,21.216612,1520700
2007-8-15,25.049999,25.25,24.629999,24.75,20.945799,3073600
2007-8-16,24.57,24.67,23.9,24.59,20.810389,4039400
2007-8-17,25.219999,25.23,24.57,24.83,21.013496,4007400
2007-8-20,25.030001,25.08,24.790001,24.92,21.089666,2193200
2007-8-21,24.84,25.209999,24.84,25,21.157368,2856400
2007-8-22,25.33,25.389999,25.190001,25.33,21.436642,1995200
2007-8-23,25.450001,25.5,25.26,25.4,21.495888,1906300
2007-8-24,25.4,25.809999,25.34,25.76,21.800547,2567400
2007-8-27,25.629999,25.780001,25.620001,25.620001,21.68207,1468800
2007-8-28,25.52,25.540001,25.059999,25.16,21.292772,2799600
2007-8-29,25.25,25.790001,25.25,25.76,21.800547,3272200
2007-8-30,25.6,26.049999,25.42,25.870001,21.893644,4312600
2007-8-31,26.15,26.15,25.879999,26.040001,22.03751,4653600
2007-9-4,26.08,26.610001,26.040001,26.440001,22.376034,4444400
2007-9-5,26.34,26.370001,26.059999,26.16,22.139069,2463000
2007-9-6,26.26,26.309999,26.07,26.290001,22.249084,2288800
2007-9-7,25.879999,25.950001,25.6,25.75,21.792086,4738000
2007-9-10,25.92,26,25.559999,25.700001,21.749775,3500100
2007-9-11,25.860001,26.16,25.85,26.07,22.062902,2481200
2007-9-12,26,26.219999,25.940001,26,22.003668,2786700
2007-9-13,26.139999,26.15,25.969999,26,22.003668,1835400
2007-9-14,25.780001,25.99,25.780001,25.870001,21.893644,2896300
2007-9-17,25.860001,25.98,25.76,25.860001,21.885176,929300
2007-9-18,26.08,26.379999,25.65,26.370001,22.316799,3394000
2007-9-19,26.52,26.620001,26.370001,26.469999,22.401421,2072300
2007-9-20,26.43,26.66,26.43,26.57,22.48605,1853400
2007-9-21,26.620001,26.77,26.6,26.719999,22.65819,3527000
2007-9-24,26.77,26.969999,26.65,26.65,22.598829,6265500
2007-9-25,26.66,27,26.6,26.92,22.827787,2967000
2007-9-26,27.360001,27.360001,26.950001,27.09,22.971949,3881800
2007-9-27,27.18,27.18,27.02,27.07,22.954985,2703800
2007-9-28,27.370001,27.370001,26.91,26.969999,22.87019,2653600
2007-10-1,27.17,27.370001,27.02,27.26,23.11611,10141600
2007-10-2,27.469999,27.469999,27.23,27.360001,23.200905,3556200
2007-10-3,27.219999,27.299999,27,27.040001,22.929546,2053700
2007-10-4,27.17,27.17,26.969999,27.110001,22.988905,5076500
2007-10-5,27.23,27.469999,27.209999,27.4,23.234819,1930700
2007-10-8,27.379999,27.559999,27.360001,27.450001,23.277214,865100
2007-10-9,27.639999,27.709999,27.49,27.65,23.446814,2707500
2007-10-10,27.98,27.98,27.629999,27.74,23.52314,1793700
2007-10-11,27.860001,28.01,27.26,27.440001,23.26874,4907000
2007-10-12,27.51,27.74,27.469999,27.709999,23.497694,2187500
2007-10-15,27.42,27.780001,27.360001,27.51,23.328104,5073500
2007-10-16,27.440001,27.6,27.370001,27.51,23.328104,5602200
2007-10-17,27.9,27.9,27.41,27.74,23.52314,6580800
2007-10-18,27.690001,27.84,27.59,27.809999,23.582495,2397100
2007-10-19,27.809999,27.82,27.09,27.15,23.022827,3045900
2007-10-22,26.950001,27.35,26.92,27.32,23.166985,3357100
2007-10-23,27.6,27.719999,27.379999,27.620001,23.421381,6429900
2007-10-24,27.75,27.75,26.860001,27.34,23.18395,5611300
2007-10-25,27.52,27.59,27.129999,27.57,23.378977,3138200
2007-10-26,27.75,28.209999,27.68,27.940001,23.692736,2617100
2007-10-29,28.02,28.110001,27.91,28.02,23.760571,2510700
2007-10-30,27.85,28.18,27.85,28.07,23.802969,2732600
2007-10-31,28.450001,28.52,28.110001,28.4,24.082808,3877500
2007-11-1,28.6,28.6,27.950001,28.09,23.819935,7202300
2007-11-2,28.389999,28.389999,27.83,28.15,23.870808,5332600
2007-11-5,28.030001,28.23,26.75,28.110001,23.836891,4705100
2007-11-6,28.370001,28.370001,27.889999,28.26,23.96409,3377000
2007-11-7,28.15,28.16,27.5,27.5,23.319614,5835400
2007-11-8,26.709999,27.4,26.27,26.52,22.488594,14313300
2007-11-9,25.709999,26.41,25.58,25.969999,22.0222,6400600
2007-11-12,25.5,26.129999,25.5,25.549999,21.666048,7261900
2007-11-13,26,26.549999,25.879999,26.42,22.403795,4478000
2007-11-14,27,27,26.08,26.27,22.2766,6078800
2007-11-15,25.99,26.32,25.85,25.950001,22.005243,3870700
2007-11-16,25.9,26.370001,25.9,26.32,22.319,3484800
2007-11-19,26.309999,26.32,25.77,25.799999,21.878048,4766200
2007-11-20,26.290001,26.290001,25.540001,26.02,22.064598,5255200
2007-11-21,25.59,26.02,25.43,25.530001,21.649094,6298800
2007-11-23,25.549999,25.9,25.549999,25.780001,21.861086,882100
2007-11-26,26.08,26.08,25.190001,25.24,21.40317,2815600
2007-11-27,25.6,25.67,25.209999,25.52,21.640612,3370500
2007-11-28,26.08,26.41,25.82,26.27,22.2766,4242300
2007-11-29,26.389999,26.530001,26.23,26.4,22.386839,4674700
2007-11-30,27.139999,27.139999,26.030001,26.26,22.268118,3603800
2007-12-3,26.34,26.370001,26.049999,26.1,22.132441,2674700
2007-12-4,26.09,26.219999,25.799999,26,22.047642,1971400
2007-12-5,26.440001,26.65,26.26,26.6,22.556427,3866200
2007-12-6,26.790001,26.959999,26.549999,26.870001,22.785383,2272000
2007-12-7,27.129999,27.129999,26.82,26.9,22.810831,2797300
2007-12-10,27.190001,27.190001,26.889999,27.030001,22.92107,2524600
2007-12-11,27.360001,27.629999,26.610001,26.610001,22.564913,3667000
2007-12-12,27.299999,27.35,26.66,27.07,22.954985,3812800
2007-12-13,27.049999,27.1,26.82,26.93,22.836273,2518800
2007-12-14,27.030001,27.059999,26.719999,26.76,22.69211,2107900
2007-12-17,26.530001,26.700001,26.17,26.25,22.259636,1958400
2007-12-18,26.5,26.5,26.02,26.25,22.259636,3387400
2007-12-19,26.459999,26.469999,26.17,26.42,22.403795,1908300
2007-12-20,26.790001,26.799999,26.469999,26.799999,22.72603,1928100
2007-12-21,26.9,27.049999,26.85,27.02,23.018229,3048800
2007-12-24,27.27,27.27,27.07,27.219999,23.188616,837100
2007-12-26,27.200001,27.43,27.08,27.370001,23.316395,2401300
2007-12-27,27.209999,27.370001,26.889999,26.99,22.992662,1683700
2007-12-28,27.41,27.41,26.790001,26.860001,22.881924,1062700
2007-12-31,26.99,26.99,26.549999,26.66,22.711548,1786700
2008-1-2,26.65,26.719999,25.969999,26.120001,22.251526,7460600
2008-1-3,26.290001,26.290001,25.940001,26.16,22.285601,2011000
2008-1-4,25.709999,25.75,25,25.139999,21.416664,3892000
2008-1-7,24.959999,25.18,24.65,24.92,21.229246,5599200
2008-1-8,25.030001,25.25,24.200001,24.26,20.666998,5294900
2008-1-9,24.120001,24.639999,24.049999,24.6,20.956644,5225000
2008-1-10,24.360001,24.92,24.17,24.639999,20.990709,6524300
2008-1-11,24.610001,24.620001,24.08,24.280001,20.684038,3284300
2008-1-14,24.6,24.85,24.549999,24.77,21.101467,4135500
2008-1-15,24.58,24.629999,24.17,24.25,20.658474,3663100
2008-1-16,23.99,24.17,23.57,23.719999,20.206976,6687300
2008-1-17,23.82,24.030001,23.309999,23.51,20.028074,5623500
2008-1-18,23.52,23.780001,23.1,23.1,19.678801,4556100
2008-1-22,20.5,22.879999,19.76,22.67,19.312481,8978800
2008-1-23,22,22.870001,21.309999,22.870001,19.482864,8362600
2008-1-24,23.02,23.200001,22.67,23.200001,19.763994,4135200
2008-1-25,23.76,23.76,22.76,22.84,19.45731,3913600
2008-1-28,22.75,22.99,22.57,22.940001,19.5425,2891100
2008-1-29,23.280001,23.280001,22.82,23.139999,19.71287,4257600
2008-1-30,22.950001,23.5,22.950001,22.959999,19.559536,5000700
2008-1-31,22.6,23.549999,22.6,23.25,19.806585,6044300
2008-2-1,23.58,23.66,23.23,23.65,20.147345,3134900
2008-2-4,23.690001,23.690001,23.16,23.16,19.729904,1960000
2008-2-5,22.92,22.99,22.51,22.58,19.235813,4144400
2008-2-6,22.610001,22.790001,22.209999,22.33,19.022842,6159500
2008-2-7,22,22.52,21.860001,22.469999,19.142099,4758400
2008-2-8,22.33,22.530001,22.18,22.299999,18.997282,4781800
2008-2-11,22.42,22.75,22.379999,22.690001,19.329523,3191600
2008-2-12,22.98,22.98,22.559999,22.74,19.372114,4784100
2008-2-13,22.969999,23.35,22.610001,23.26,19.815105,5757200
2008-2-14,23.42,23.42,22.799999,22.799999,19.423231,3644800
2008-2-15,22.559999,22.82,22.559999,22.719999,19.355078,2312400
2008-2-19,22.76,22.99,22.24,22.51,19.176182,2312200
2008-2-20,22.379999,22.610001,22.120001,22.549999,19.210255,5785100
