Date,Open,High,Low,Close,Adj Close,Volume
2007-8-3,68.290001,69.169998,66.010002,66.120003,53.611534,34069700
2007-8-6,65.699997,66.709999,64.230003,66.5,53.919636,54535800
2007-8-7,65.989998,68.639999,65.760002,68.059998,55.184536,31169600
2007-8-8,68.650002,70.089996,68.160004,69.349998,56.230503,30217600
2007-8-9,67.599998,69.239998,67.300003,67.360001,54.616951,32535600
2007-8-10,66.889999,68.440002,65.629997,67.720001,54.90884,27683800
2007-8-13,68.660004,69.419998,67.57,67.800003,54.973694,19688400
2007-8-14,68.389999,68.580002,67,67.349998,54.608849,20305500
2007-8-15,67.389999,67.970001,65.389999,65.5,53.108814,26081900
2007-8-16,64.330002,65.449997,62.73,65.099998,52.784489,42047400
2007-8-17,67.150002,67.669998,65.82,67.5,54.730465,30948700
2007-8-20,67.190002,67.910004,65.949997,67.349998,54.608849,32988100
2007-8-21,67.059998,67.589996,66,66.400002,53.838566,20416300
2007-8-22,67.199997,67.470001,66.639999,67.199997,54.487213,18119500
2007-8-23,67.540001,68.059998,66.940002,67.800003,54.973694,17983500
2007-8-24,68.099998,69.5,67.949997,69.25,56.149399,15634500
2007-8-27,68.919998,68.949997,68.169998,68.400002,55.460232,10691700
2007-8-28,68,68.25,66.75,66.75,54.122345,19639500
2007-8-29,67.239998,69.25,67.160004,68.959999,55.914276,27364000
2007-8-30,68.559998,69.370003,68.220001,68.919998,55.881836,16872200
2007-8-31,69.739998,70.300003,68.93,69.830002,56.619698,13317700
2007-9-4,69.599998,71.580002,69.410004,71.099998,57.649433,15895800
2007-9-5,71,71.080002,70.379997,70.720001,57.341316,16364300
2007-9-6,71.400002,72.25,71.029999,71.800003,58.217014,18007500
2007-9-7,70.959999,71.07,70.080002,70.260002,56.968327,20089300
2007-9-10,70.529999,70.620003,68.779999,70.150002,56.879162,30889000
2007-9-11,70.199997,71.510002,69.68,71.349998,57.852123,27076200
2007-9-12,71.150002,72.290001,71.150002,71.849998,58.257534,24022800
2007-9-13,71.959999,72.739998,71.870003,72.300003,58.622425,15237400
2007-9-14,71.82,72.959999,71.800003,72.5,58.784557,14026700
2007-9-17,72.349998,73.150002,72.150002,72.650002,58.906185,13479900
2007-9-18,72.889999,75,72.269997,74.849998,60.69001,18643500
2007-9-19,75.32,76.029999,75.010002,75.5,61.217014,19370300
2007-9-20,75.339996,75.739998,74.93,75.449997,61.176498,16293000
2007-9-21,76.080002,76.300003,75.650002,75.699997,61.54071,12222200
2007-9-24,75.800003,75.93,75.050003,75.559998,61.426872,17839800
2007-9-25,74.580002,74.639999,73.879997,74.32,60.418827,17468900
2007-9-26,75.040001,75.32,73.690002,74.529999,60.589565,20666000
2007-9-27,75.260002,75.580002,74.870003,75.5,61.378086,12593100
2007-9-28,75.830002,76.099998,74.620003,74.800003,60.809052,17413000
2007-10-1,74.75,76.139999,74.68,76.099998,61.865891,19443400
2007-10-2,75.519997,75.589996,74.260002,74.910004,60.898472,21891500
2007-10-3,74.410004,74.849998,73.940002,74.470001,60.540783,21925400
2007-10-4,74.150002,75.040001,73.5,74.75,60.768391,15562300
2007-10-5,75.110001,75.279999,74.080002,75.110001,61.061058,16155600
2007-10-8,74.529999,74.82,74.139999,74.349998,60.443233,13094500
