Date,Open,High,Low,Close,Adj Close,Volume
2007-8-3,26.82,26.93,26.450001,26.65,20.289625,4452800
2007-8-6,26.709999,27.34,26.610001,27.34,20.814943,3826700
2007-8-7,26.940001,27.57,26.940001,27.27,20.761654,3275100
2007-8-8,27.450001,27.75,27.32,27.75,21.127096,4770200
2007-8-9,27.360001,27.51,27.030001,27.25,20.746424,1764900
2007-8-10,26.99,27.34,26.73,27.1,20.632227,2941300
2007-8-13,27.030001,27.17,26.809999,27.02,20.571318,1353100
2007-8-14,26.93,26.93,26.549999,26.59,20.243938,1639400
2007-8-15,26.459999,26.84,26.309999,26.450001,20.137354,1755700
2007-8-16,26.25,26.52,26.02,26.52,20.190649,2661200
2007-8-17,26.879999,27,26.48,26.65,20.289625,4028900
2007-8-20,26.860001,26.99,26.57,26.85,20.441893,1448700
2007-8-21,26.6,26.85,26.6,26.85,20.441893,558100
2007-8-22,26.879999,26.93,26.77,26.92,20.49519,2922400
2007-8-23,27.049999,27.049999,26.780001,26.93,20.5028,1035200
2007-8-24,26.9,27.15,26.9,27.120001,20.647455,1351700
2007-8-27,27.1,27.18,26.99,27,20.556093,1260800
2007-8-28,26.93,26.99,26.59,26.690001,20.320078,2099100
2007-8-29,26.700001,27.01,26.65,26.92,20.49519,1167800
2007-8-30,26.76,26.93,26.73,26.83,20.426662,1027300
2007-8-31,26.969999,27.139999,26.84,26.9,20.479958,1578700
2007-9-4,27.040001,27.190001,26.959999,27.190001,20.700741,1787300
2007-9-5,26.700001,26.940001,26.700001,26.940001,20.510412,1866800
2007-9-6,26.91,27.030001,26.799999,26.870001,20.457115,1298300
2007-9-7,26.77,26.870001,26.629999,26.75,20.365759,4722100
2007-9-10,26.75,26.889999,26.620001,26.82,20.419056,5018500
2007-9-11,26.85,27.110001,26.82,27,20.556093,3407600
2007-9-12,27.049999,27.25,27,27.139999,20.66268,2135800
2007-9-13,27.379999,27.379999,27.209999,27.219999,20.723583,2333000
2007-9-14,27.219999,27.379999,27.15,27.379999,20.845398,2344400
2007-9-17,27.25,27.290001,27.190001,27.219999,20.723583,603300
2007-9-18,27.35,27.75,27.27,27.75,21.127096,1828300
2007-9-19,27.809999,27.870001,27.629999,27.77,21.142323,3788300
2007-9-20,27.790001,27.809999,27.67,27.799999,21.165157,1412200
2007-9-21,27.690001,27.799999,27.610001,27.66,21.175879,2317300
2007-9-24,27.690001,27.719999,27.530001,27.639999,21.16057,951200
2007-9-25,27.51,27.67,27.43,27.6,21.12994,6076300
2007-9-26,27.68,27.9,27.629999,27.790001,21.275402,2808800
2007-9-27,27.84,27.950001,27.799999,27.889999,21.351961,1408500
2007-9-28,27.9,27.98,27.85,27.98,21.420864,825300
2007-10-1,27.9,27.950001,27.719999,27.9,21.359612,5794400
2007-10-2,27.91,27.92,27.780001,27.91,21.367271,2038300
2007-10-3,27.860001,27.9,27.75,27.84,21.313686,6854900
2007-10-4,27.85,27.91,27.790001,27.9,21.359612,5732400
2007-10-5,27.959999,28.02,27.870001,28,21.436176,3707600
2007-10-8,27.780001,27.92,27.780001,27.82,21.298368,2909100
2007-10-9,27.91,28.01,27.82,27.98,21.420864,4467400
2007-10-10,27.84,28.120001,27.84,28.1,21.512733,2556900
2007-10-11,28.290001,28.309999,28.030001,28.17,21.566322,6015200
2007-10-12,28.719999,28.719999,28.129999,28.23,21.612263,3744700
2007-10-15,27.73,28.370001,27.73,28.139999,21.543354,3811300
2007-10-16,28.059999,28.129999,27.969999,28.02,21.451488,3147400
2007-10-17,28.129999,28.200001,27.950001,28.120001,21.528048,7207900
2007-10-18,28.030001,28.129999,28,28.02,21.451488,12642300
2007-10-19,28.040001,28.07,27.700001,27.73,21.229473,7279600
2007-10-22,27.639999,27.959999,27.620001,27.91,21.367271,1933100
2007-10-23,27.99,28,27.82,28,21.436176,1506200
2007-10-24,27.93,28.02,27.700001,27.92,21.374929,2160100
2007-10-25,28.059999,28.209999,27.99,28.15,21.55101,2888900
2007-10-26,28.040001,28.35,28.040001,28.34,21.696468,1332300
2007-10-29,28.35,28.450001,28.27,28.35,21.704123,1526300
2007-10-30,28.190001,28.34,28.129999,28.23,21.612263,1542000
2007-10-31,28.09,28.450001,28.09,28.41,21.750063,2189400
2007-11-1,28.5,28.5,27.84,27.85,21.321344,2617800
2007-11-2,27.76,28.030001,27.76,28.030001,21.459141,2537000
2007-11-5,27.51,28.190001,27.51,28.07,21.489765,1753700
2007-11-6,28,28.26,28,28.26,21.635227,1129500
2007-11-7,28,28.190001,27.809999,27.950001,21.3979,2671300
2007-11-8,28.18,28.219999,27.73,28.15,21.55101,3227300
2007-11-9,27.950001,28.15,27.870001,27.879999,21.344299,2385800
2007-11-12,27.67,28.16,27.639999,27.9,21.359612,2307100
2007-11-13,28.379999,28.440001,28.040001,28.32,21.681162,1602400
2007-11-14,28.459999,28.66,28.360001,28.459999,21.788343,2915100
2007-11-15,28.15,28.629999,28.15,28.440001,21.773027,4579100
2007-11-16,28.549999,28.65,28.379999,28.57,21.872557,1555800
2007-11-19,28.66,28.66,28.34,28.370001,21.719442,2718600
2007-11-20,28.940001,28.940001,28.309999,28.6,21.895521,3525100
2007-11-21,28.49,28.620001,28.23,28.25,21.627573,3356900
2007-11-23,28.59,28.59,28.35,28.540001,21.849588,686700
2007-11-26,28.799999,28.799999,28.18,28.25,21.627573,2987300
2007-11-27,28.25,28.68,28.25,28.549999,21.857241,2612400
2007-11-28,28.799999,29.049999,28.58,29,22.20175,4534000
2007-11-29,28.709999,29.309999,28.709999,29.15,22.316593,2780900
2007-11-30,29.299999,29.299999,29.030001,29.190001,22.347212,2794800
2007-12-3,29.370001,29.370001,29.030001,29.08,22.263,5158900
2007-12-4,29.049999,29.15,29,29.040001,22.232374,2187800
2007-12-5,29.389999,29.389999,29.09,29.16,22.324244,1632500
2007-12-6,29.33,29.459999,29.15,29.15,22.316593,3177400
2007-12-7,29.4,29.6,29.309999,29.459999,22.553919,3010100
2007-12-10,29.77,29.77,29.450001,29.49,22.576885,980600
2007-12-11,29.73,29.73,29.08,29.17,22.3319,3657200
2007-12-12,29.700001,29.74,29.030001,29.25,22.393148,2379800
2007-12-13,29.450001,29.450001,29.049999,29.379999,22.492668,3219400
2007-12-14,29,29.43,28.98,29.02,22.217066,2749000
2007-12-17,28.76,28.99,28.709999,28.82,22.063953,2978300
2007-12-18,29.16,29.16,28.629999,28.690001,21.964424,4009900
2007-12-19,28.540001,29.01,28.540001,28.93,22.148159,1922700
2007-12-20,29.379999,29.379999,28.799999,28.799999,22.048634,1720800
2007-12-21,28.77,29.34,28.77,29.34,22.577288,2275200
2007-12-24,29.469999,29.469999,29.209999,29.299999,22.546511,882300
2007-12-26,29.360001,29.360001,29.129999,29.200001,22.469561,1349100
2007-12-27,29.360001,29.360001,28.92,28.92,22.254091,2449500
2007-12-28,29.209999,29.209999,28.950001,29.030001,22.338741,725400
2007-12-31,29.02,29.02,28.610001,28.799999,22.161757,1763300
2008-1-2,28.530001,28.719999,28.26,28.389999,21.846256,10122700
2008-1-3,28.4,28.5,28.200001,28.24,21.730833,4379600
2008-1-4,28.01,28.34,28.01,28.120001,21.638494,4172500
2008-1-7,28.1,28.549999,28.1,28.450001,21.892429,3826400
2008-1-8,28.629999,28.860001,28.24,28.24,21.730833,5549600
2008-1-9,28.49,28.629999,28.290001,28.620001,22.023249,4759000
2008-1-10,28.59,28.91,28.51,28.67,22.061722,5023700
2008-1-11,28.67,28.709999,28.16,28.27,21.75392,4456400
2008-1-14,28.219999,28.370001,28.110001,28.15,21.661577,7331400
2008-1-15,28,28.02,27.75,27.85,21.430727,2611500
2008-1-16,27.66,28.059999,27.66,27.75,21.353775,8980400
2008-1-17,27.959999,27.969999,27.42,27.549999,21.199875,4250400
2008-1-18,27.73,27.73,27,27.15,20.892076,6034900
2008-1-22,25.18,27.02,24.379999,26.870001,20.676613,12101600
