Date,Open,High,Low,Close,Adj Close,Volume
2007-8-3,64.400002,64.730003,61.549999,62.029999,54.924519,4440900
2007-8-6,63.400002,64.379997,62.43,64.349998,56.978767,3284100
2007-8-7,63.450001,65.040001,63.139999,64.559998,57.164703,3225200
2007-8-8,65.059998,66.980003,65.059998,66.209999,58.625698,4711800
2007-8-9,63.599998,64.57,62.599998,63,55.783409,2526900
2007-8-10,61.049999,63.029999,60.299999,62.150002,55.030777,4246400
2007-8-13,62.880001,63.400002,62.290001,62.299999,55.163593,2208200
2007-8-14,62.09,62.16,59.950001,60.400002,53.481232,3131500
2007-8-15,59.84,60.18,57.900002,58.470001,51.77232,4010000
2007-8-16,55.48,57.18,52.599998,56.279999,49.833176,9504000
2007-8-17,58,60,57.330002,58.5,51.798874,6055000
2007-8-20,59.43,59.470001,57.509998,58.639999,51.922848,4042700
2007-8-21,58.220001,58.619999,57.740002,58.18,51.515533,2425800
2007-8-22,59.799999,60.939999,59.529999,60.759998,53.799995,3502400
2007-8-23,61.16,61.959999,59.93,60.869999,53.897396,2954100
2007-8-24,60.82,62.25,60.66,62.139999,55.021919,2325500
2007-8-27,61.669998,61.740002,60.849998,60.849998,53.879688,1484800
2007-8-28,61.84,61.84,59.25,59.549999,52.7286,3056200
2007-8-29,61.52,63.549999,61.439999,63.119999,55.88966,3397000
2007-8-30,62.349998,62.939999,61.75,62.400002,55.252136,2401300
2007-8-31,64.18,65.029999,63.779999,64.099998,56.757393,2892700
2007-9-4,63.759998,65.190002,63.669998,64.699997,57.28867,3421400
2007-9-5,63.599998,63.599998,62.790001,63.200001,55.960499,1827300
2007-9-6,64.349998,64.730003,63.759998,64.360001,56.987617,897000
2007-9-7,63.259998,63.439999,62.169998,62.669998,55.491199,2011000
2007-9-10,62.900002,62.970001,61.279999,62.279999,55.145882,2554200
2007-9-11,62.419998,63.779999,62.400002,63.610001,56.323536,1356400
2007-9-12,62.380001,63.369999,61.950001,62.889999,55.686008,3020200
2007-9-13,64,64.82,63.540001,64.239998,56.881363,1880400
2007-9-14,64.25,64.889999,63.84,64.519997,57.129292,1965000
2007-9-17,64.050003,64.330002,63.5,64.019997,56.686562,1315400
2007-9-18,63.779999,66.669998,63.27,66.290001,58.696548,4618200
2007-9-19,68.099998,68.169998,66.599998,67.419998,59.697113,3432800
2007-9-20,66.900002,67.269997,66.010002,66.599998,58.971027,2192300
