Date,Open,High,Low,Close,Adj Close,Volume
2007-8-3,83.459999,83.599998,80.93,81.190002,64.005836,1897200
2007-8-6,81.629997,83.209999,80.489998,83,65.432755,2687200
2007-8-7,82.519997,84.309998,82.489998,83.870003,66.118599,3181900
2007-8-8,84.239998,85.449997,83.730003,85.160004,67.13559,1773000
2007-8-9,83.309998,84.279999,82.190002,82.190002,64.794197,2387200
2007-8-10,81.400002,82.980003,80.940002,82.519997,65.054352,3090400
2007-8-13,83.059998,83.260002,82.199997,82.25,64.841507,1457200
2007-8-14,82.370003,82.550003,80.730003,80.879997,63.761463,1279200
2007-8-15,80.870003,81.900002,79.599998,79.860001,62.957371,1642800
2007-8-16,78.910004,81.110001,77.879997,81.110001,63.94278,2470100
2007-8-17,83.510002,83.510002,81.110001,82.629997,65.141068,1139800
2007-8-20,83.029999,83.050003,81.669998,82.699997,65.196259,1711500
2007-8-21,82.620003,83.339996,82.269997,82.669998,65.172607,1923300
2007-8-22,83.470001,83.809998,82.699997,83.75,66.02401,1421200
2007-8-23,84.029999,84.300003,83.120003,83.720001,66.000359,1482000
2007-8-24,83.669998,84.529999,83.43,84.449997,66.575874,1428500
2007-8-27,84.309998,84.449997,83.5,83.5,65.826942,975900
2007-8-28,83.18,83.220001,81.510002,81.730003,64.431564,1111100
2007-8-29,81.940002,83.290001,81.699997,83.260002,65.637718,1508000
2007-8-30,82.519997,83.370003,82.440002,82.779999,65.259315,1241100
2007-8-31,83.760002,84.129997,83.120003,83.660004,65.953087,1145000
2007-9-4,83.440002,84.879997,83.43,84.440002,66.567993,4220700
2007-9-5,84.010002,84.010002,83.129997,83.370003,65.724449,1268700
2007-9-6,83.690002,83.949997,83.18,83.849998,66.102859,1276900
2007-9-7,82.699997,83.199997,82.209999,82.959999,65.401215,1359900
2007-9-10,82.910004,82.959999,81.589996,82.300003,64.880913,1378000
2007-9-11,82.650002,83.459999,82.559998,83.349998,65.708694,1040200
2007-9-12,83.239998,83.889999,83.040001,83.529999,65.850586,1008400
2007-9-13,84.059998,84.68,83.919998,84.330002,66.48127,1265900
2007-9-14,83.809998,84.529999,83.720001,84.440002,66.567993,1202100
2007-9-17,84.169998,84.32,83.790001,84.019997,66.236893,1246500
2007-9-18,84.510002,86.68,84.160004,86.650002,68.310226,1796400
2007-9-19,87.5,87.830002,86.849998,87.370003,68.877823,1292600
2007-9-20,87.279999,87.279999,86.279999,86.32,68.050079,1264200
2007-9-21,87.279999,87.279999,86.68,86.690002,68.341759,1186800
2007-9-24,86.699997,86.849998,86.029999,86.300003,68.034309,1246200
2007-9-25,85.32,85.480003,84.970001,85.260002,67.625031,2673600
2007-9-26,85.900002,86.169998,85.260002,85.790001,68.04541,1136700
2007-9-27,86.25,86.379997,85.889999,86.209999,68.378548,1807600
2007-9-28,86.18,86.379997,85.720001,85.949997,68.172318,1175800
2007-10-1,86.059998,87.290001,86,87.190002,69.155838,2426500
2007-10-2,87.290001,87.32,86.849998,87.019997,69.021004,2131000
2007-10-3,86.879997,87.260002,86.75,87,69.005135,878200
2007-10-4,87.160004,87.309998,86.940002,87.080002,69.068581,808400
2007-10-5,87.790001,88.269997,87.5,88.019997,69.814171,1622600
2007-10-8,87.809998,87.959999,87.379997,87.519997,69.417572,1119900
2007-10-9,87.82,88.32,87.43,88.18,69.941063,1107000
2007-10-10,88.040001,88.050003,87.480003,87.919998,69.734863,1062200
2007-10-11,88.019997,88.690002,87.230003,87.68,69.544502,1785100
2007-10-12,87.720001,87.989998,87.589996,87.870003,69.695183,729600
2007-10-15,88.050003,88.120003,86.699997,87.370003,69.298607,886600
2007-10-16,87.010002,88.18,86.25,86.400002,68.529221,1195000
2007-10-17,87,87.07,85.470001,86.440002,68.560966,1498200
2007-10-18,85.970001,86.199997,85.68,85.980003,68.196106,1220200
2007-10-19,85.68,85.980003,83.730003,83.730003,66.411507,2172100
2007-10-22,83.220001,84.370003,83.220001,84.199997,66.784279,2359300
2007-10-23,84.660004,84.690002,83.870003,84.559998,67.069847,1331400
2007-10-24,84.269997,84.540001,82.919998,84.489998,67.014336,1912900
2007-10-25,84.5,84.730003,83.290001,84.239998,66.816025,2164500
2007-10-26,84.300003,85.5,83.610001,85.470001,67.791618,1592700
2007-10-29,85.889999,86,85.550003,85.760002,68.021599,983500
2007-10-30,85.620003,85.620003,84.949997,85.099998,67.498108,1008400
2007-10-31,85.589996,86.260002,84.940002,86.050003,68.251633,1400800
2007-11-1,84.82,84.900002,83.209999,83.379997,66.133888,1593800
2007-11-2,84.019997,84.019997,82.040001,83.190002,65.98317,1379800
2007-11-5,82.400002,83.019997,81.790001,82.459999,65.404182,1234500
2007-11-6,82.970001,83.550003,82.330002,83.550003,66.268738,1197600
2007-11-7,82.620003,82.910004,80.790001,80.860001,64.135147,1999600
2007-11-8,81.230003,81.720001,79.949997,81.370003,64.539604,2208600
2007-11-9,80.410004,81.809998,79.809998,80.650002,63.968555,2293100
2007-11-12,80.43,81.43,79.959999,80.040001,63.484718,2497800
2007-11-13,80.120003,82.32,80.120003,82.230003,65.221764,1723100
2007-11-14,83.080002,83.110001,81.550003,81.949997,64.999657,1462900
2007-11-15,81.599998,81.779999,79.989998,80.529999,63.873363,1580700
2007-11-16,80.919998,81.019997,79.900002,80.57,63.905094,2145900
2007-11-19,80.120003,80.190002,78.809998,79.050003,62.699497,2360500
2007-11-20,79.07,79.889999,78.059998,79.239998,62.850178,2321500
2007-11-21,78.82,79.059998,77.900002,78.019997,61.882542,2314600
2007-11-23,78.779999,79.449997,78.25,79.330002,62.921585,832000
2007-11-26,79.470001,79.839996,77.190002,77.300003,61.31144,2163300
2007-11-27,77.849998,78.589996,77.230003,78.129997,61.969776,2174100
2007-11-28,79.25,80.870003,79.019997,80.559998,63.897186,2336700
2007-11-29,80.5,81,80.040001,80.389999,63.762321,2656800
2007-11-30,81.940002,82.25,81.25,81.900002,64.960014,2675500
2007-12-3,81.989998,81.989998,81.07,81.269997,64.460312,2210800
2007-12-4,80.790001,81.110001,80.480003,80.620003,63.944759,2193900
2007-12-5,81.489998,82.029999,81.269997,81.949997,64.999657,2296700
2007-12-6,81.839996,83.370003,81.75,83.199997,65.991142,2829500
2007-12-7,83.629997,83.669998,82.980003,82.980003,65.816635,4535400
2007-12-10,83.330002,84.120003,83.160004,83.879997,66.530464,2293200
2007-12-11,84.160004,84.589996,81.519997,81.610001,64.729996,2714200
2007-12-12,83.760002,83.779999,80.919998,82.18,65.182091,4179500
2007-12-13,81.650002,82.160004,80.860001,82.129997,65.142433,3455100
2007-12-14,81.489998,81.93,80.580002,80.669998,63.984409,2780400
2007-12-17,80.449997,80.720001,79.519997,79.57,63.111931,3378700
2007-12-18,80.379997,80.510002,79.120003,80.059998,63.500595,3889500
2007-12-19,80.410004,80.849998,79.669998,80.029999,63.476814,2929600
2007-12-20,80.690002,80.720001,79.540001,80.540001,63.881332,4933600
2007-12-21,81.400002,81.800003,81.059998,81.650002,64.761719,2655700
2007-12-24,82.080002,82.529999,81.879997,82.349998,65.316925,1946100
2007-12-26,82.040001,82.5,81.900002,82.410004,65.364517,2208400
2007-12-27,81.889999,81.889999,80.709999,80.790001,64.462883,2819000
2007-12-28,81.360001,81.519997,80.519997,80.800003,64.470856,2759800
2007-12-31,80.739998,80.900002,80.199997,80.25,64.032013,3095900
2008-1-2,80.620003,80.760002,79.110001,79.330002,63.297966,2533400
2008-1-3,79.699997,79.93,79.139999,79.230003,63.21817,2377700
2008-1-4,78.639999,78.860001,77.379997,77.379997,61.742004,2709700
2008-1-7,77.989998,78.370003,77.269997,77.870003,62.132996,4043900
2008-1-8,78.25,78.669998,76.080002,76.190002,60.792515,4642600
2008-1-9,76.290001,77.169998,75.410004,77.089996,61.510651,3500000
2008-1-10,76.589996,78.470001,76.239998,77.82,62.093094,4190600
2008-1-11,77.239998,78,76.690002,77,61.438831,3220800
2008-1-14,77.480003,77.830002,77.139999,77.489998,61.829803,2519900
2008-1-15,76.739998,76.860001,75.75,75.75,60.441456,3213200
2008-1-16,75.610001,76.720001,75.279999,75.57,60.297821,2706300
2008-1-17,75.75,75.800003,73,73.190002,58.398792,3228600
2008-1-18,73.779999,74.059998,71.629997,72.389999,57.760468,7376500
2008-1-22,64,72.809998,55.380001,72.260002,57.65675,4692700
2008-1-23,70.32,74.330002,70.010002,74.209999,59.212669,4706500
2008-1-24,74.699997,75.110001,73.849998,74.68,59.587681,4488500
2008-1-25,75.260002,75.75,73.379997,73.580002,58.709988,3401700
2008-1-28,73.690002,75.400002,73.129997,75.379997,60.146214,3808100
2008-1-29,75.970001,76.279999,75.32,76.07,60.69677,3386900
2008-1-30,75.830002,77.68,75.589996,75.599998,60.321735,3302000
2008-1-31,74.599998,77.589996,74.449997,77.010002,61.446785,3387300
2008-2-1,77.410004,78.410004,77.290001,78.209999,62.404308,3097500
2008-2-4,78.07,78.18,77.32,77.519997,61.853722,2368400
2008-2-5,76.349998,76.360001,74.82,74.900002,59.763226,4189700
2008-2-6,75.379997,75.75,74.239998,74.349998,59.324364,1613000
2008-2-7,74.199997,75.440002,73.82,75.059998,59.890869,2897800
2008-2-8,74.639999,75,73.790001,74.370003,59.340332,1608600
2008-2-11,73.650002,74.629997,73.43,74.389999,59.356297,2706900
2008-2-12,75.019997,75.849998,74.57,75.260002,60.050465,3853800
2008-2-13,75.779999,76.120003,75.059998,75.949997,60.601021,1838500
2008-2-14,76.199997,76.239998,75.019997,75.099998,59.922775,2279700
