Date,Open,High,Low,Close,Adj Close,Volume
2007-8-3,119.760002,120.32,115.709999,115.709999,99.766533,181500
2007-8-6,116.080002,121.120003,114.739998,121,104.327644,152600
2007-8-7,119.739998,123.529999,119.739998,122.410004,105.543373,58800
2007-8-8,124.190002,126.709999,122.57,125.260002,108.000679,87100
2007-8-9,120.900002,123.699997,120.529999,120.529999,103.922386,168300
2007-8-10,118.900002,121.709999,118.339996,120.459999,103.86203,44100
2007-8-13,122.110001,122.110001,118.760002,118.760002,102.396255,29100
2007-8-14,119.010002,119.220001,116.190002,116.360001,100.326988,38400
2007-8-15,115.629997,118.529999,114.629997,114.629997,98.835342,92700
2007-8-16,114.260002,120.489998,112.860001,120.480003,103.879303,200800
2007-8-17,125.900002,125.949997,121.290001,123.870003,106.802162,128500
2007-8-20,124.760002,124.830002,120.790001,122.690002,105.78479,64900
2007-8-21,122.480003,124.540001,122,123.610001,106.578003,23300
2007-8-22,124.989998,125.32,122.389999,124.089996,106.991867,68900
2007-8-23,124.279999,124.519997,122.849998,123.610001,106.578003,118900
2007-8-24,123.540001,124.199997,122.43,124.199997,107.086731,71900
2007-8-27,123.75,123.75,122.239998,122.279999,105.431274,27300
2007-8-28,120.82,120.82,118.410004,118.529999,102.19796,34100
2007-8-29,119.269997,120.559998,118,120.559998,103.948265,17000
2007-8-30,119.019997,120.050003,118.669998,119.040001,102.637695,13600
2007-8-31,121.410004,121.790001,120.110001,120.620003,104.000008,60400
2007-9-4,120.690002,123.18,120.519997,122.349998,105.491623,9500
2007-9-5,120.93,121.080002,119.589996,119.879997,103.361946,9300
2007-9-6,120.459999,120.459999,118.57,119.68,103.189514,14800
2007-9-7,117.489998,119.360001,117.410004,118.360001,102.051399,20300
2007-9-10,117.610001,119.260002,116.760002,117.879997,101.637543,28500
2007-9-11,118.559998,119.919998,118.559998,119.529999,103.060204,32600
2007-9-12,118.989998,119.82,118.93,119.239998,102.810135,20200
2007-9-13,120.209999,121.410004,120,121.050003,104.370743,70000
2007-9-14,119.93,121.339996,119.75,121.25,104.543205,46100
2007-9-17,120.790001,120.790001,119.769997,120.160004,103.603394,5800
2007-9-18,121.129997,125.949997,121.129997,125.949997,108.595581,135200
2007-9-19,127.239998,128.220001,125.790001,126.339996,108.931847,34900
2007-9-20,126.230003,126.230003,124.040001,124.040001,106.948761,12600
2007-9-21,125.080002,125.080002,123.639999,124.489998,107.336754,19600
2007-9-24,124.260002,124.260002,122.379997,122.529999,105.646812,24200
2007-9-25,121.199997,121.68,120.669998,121.43,105.282654,32500
2007-9-26,121.970001,122.730003,120.980003,122.139999,105.898247,60600
2007-9-27,122.25,122.949997,121.879997,122.830002,106.496498,32800
2007-9-28,122.690002,122.82,121.93,121.93,105.716171,27900
2007-10-1,121.900002,125.07,121.900002,124.690002,108.109177,102400
2007-10-2,125.25,126.040001,125.25,125.599998,108.898163,50000
2007-10-3,125.839996,126.93,125.839996,126.25,109.4617,23200
2007-10-4,127.029999,127.110001,125.449997,126.459999,109.643799,321200
2007-10-5,127.220001,128.559998,127.220001,127.839996,110.840317,76100
2007-10-8,127.599998,127.599998,126.690002,126.860001,109.990585,40500
2007-10-9,127.099998,128,126.110001,128,110.979019,60900
2007-10-10,127.43,127.43,126.080002,126.620003,109.782539,39600
2007-10-11,126.769997,128.080002,125.989998,126.279999,109.48774,119100
2007-10-12,126.400002,126.889999,125.849998,126.220001,109.43573,37100
2007-10-15,123.010002,125.760002,122.809998,123.82,107.354843,34200
2007-10-16,122.529999,122.529999,121.010002,121.379997,105.239304,39800
2007-10-17,121.989998,122.150002,119.379997,121.309998,105.178619,35400
2007-10-18,119.32,119.889999,118.760002,119.400002,103.522621,32500
2007-10-19,119.099998,119.370003,116,116,100.574707,65900
2007-10-22,115.019997,117.440002,115.019997,116.940002,101.38974,108800
2007-10-23,118.190002,118.190002,116.559998,117.839996,102.170059,78400
2007-10-24,116.660004,117.669998,113.989998,117,101.441765,174400
2007-10-25,116.720001,117.889999,114.730003,116.669998,101.155655,186800
