Date,Open,High,Low,Close,Adj Close,Volume
2007-8-3,74,74.709999,72.279999,72.279999,61.736931,102300
2007-8-6,73,73.410004,72.059998,73.300003,62.608154,140300
2007-8-7,73.080002,74.029999,72.940002,73.519997,62.796074,59300
2007-8-8,74.150002,74.459999,73.309998,74.010002,63.214588,62900
2007-8-9,72.959999,73.639999,71.919998,72.230003,61.694218,96600
2007-8-10,71.120003,72.290001,70.230003,71.889999,61.403835,81500
2007-8-13,73.010002,73.080002,72.419998,72.5,61.924847,68700
2007-8-14,72.550003,72.550003,71.190002,71.199997,60.81448,56200
2007-8-15,70.699997,71.25,69.419998,69.559998,59.413689,91800
2007-8-16,68.5,69.519997,66.970001,69.519997,59.379524,192800
2007-8-17,71.699997,71.699997,69.690002,70.800003,60.472813,114400
2007-8-20,71.150002,71.620003,70.610001,71.25,60.85717,41800
2007-8-21,71.059998,71.779999,71.059998,71.279999,60.882774,53700
2007-8-22,72.129997,72.82,72.120003,72.82,62.198151,46900
2007-8-23,72.949997,73.25,71.769997,72.209999,61.677143,39700
2007-8-24,72.120003,73.160004,72.120003,73.160004,62.488571,20600
2007-8-27,72.849998,73.089996,72.650002,72.769997,62.155476,27500
2007-8-28,72.410004,72.410004,70.889999,70.959999,60.609493,21800
2007-8-29,71.379997,72.32,71.290001,72.300003,61.754017,11600
2007-8-30,71.699997,72.709999,71.699997,72.150002,61.625919,25800
2007-8-31,72.43,73.379997,72.43,73.050003,62.394634,51400
2007-9-4,72.800003,73.860001,72.800003,73.540001,62.813145,102100
2007-9-5,73.080002,73.080002,72.489998,72.790001,62.172558,55600
2007-9-6,72.959999,73.389999,72.449997,73.25,62.565456,32300
2007-9-7,72.120003,72.43,71.739998,71.959999,61.463619,64100
2007-9-10,72.370003,72.370003,71,71.75,61.284264,80100
2007-9-11,71.959999,72.620003,71.879997,72.580002,61.993195,51000
2007-9-12,72.300003,72.940002,72.300003,72.559998,61.976086,40700
2007-9-13,72.93,73.43,72.800003,73.019997,62.368996,18300
2007-9-14,72.639999,73.300003,72.639999,73.220001,62.539841,15600
2007-9-17,73.199997,73.199997,72.669998,72.779999,62.163998,15400
2007-9-18,73.110001,75,72.949997,74.919998,63.991848,84300
2007-9-19,75.800003,75.970001,75.309998,75.519997,64.504333,140000
2007-9-20,75.290001,75.410004,74.910004,75.019997,64.077232,46200
2007-9-21,75.5,75.629997,75.290001,75.339996,64.350586,16100
2007-9-24,75.339996,75.5,74.769997,75,64.060188,35400
2007-9-25,74.269997,75.099998,74.269997,75.099998,64.311958,35400
2007-9-26,75.349998,75.519997,75.139999,75.389999,64.560303,25100
2007-9-27,75.650002,75.900002,75.5,75.839996,64.945656,17600
2007-9-28,75.82,76,75.480003,75.699997,64.825729,35200
2007-10-1,75.839996,77.099998,75.839996,76.970001,65.913322,50700
2007-10-2,77.019997,77.050003,76.550003,76.800003,65.767746,28200
2007-10-3,76.75,76.75,76.07,76.120003,65.185432,23300
2007-10-4,76.360001,76.459999,76.120003,76.389999,65.416626,18700
2007-10-5,77.199997,77.699997,76.970001,77.330002,66.221596,29000
2007-10-8,77.260002,77.379997,77.029999,77.139999,66.058914,29300
2007-10-9,77.379997,77.849998,77.230003,77.849998,66.666931,61400
2007-10-10,77.519997,77.839996,76.989998,77.389999,66.272972,62500
2007-10-11,77.879997,77.949997,76.309998,76.769997,65.742073,32000
2007-10-12,76.610001,77.07,76.529999,77.07,65.998955,21500
2007-10-15,77.160004,77.160004,76.080002,76.489998,65.502274,60900
2007-10-16,76.269997,76.279999,75.889999,76.089996,65.159752,27800
