Date,021_XLF_1d_actual_lnrts,021_XLF_1d_forecast_lnrts,021_XLF_1d_true_label,021_XLF_1d_forecast_label
2016-01-06,-0.015464154501568017,-0.003877154318615794,-1.0,-1.0
2016-01-07,-0.028542020756785434,0.0011172769591212273,-1.0,1.0
2016-01-08,-0.01571291163109098,0.004000414628535509,-1.0,1.0
2016-01-11,0.0013565266639385318,0.004343479871749878,1.0,1.0
2016-01-12,0.007652467949195846,-0.0005656171124428511,1.0,-1.0
2016-01-13,-0.026353144255545045,-2.4951761588454247e-05,-1.0,-1.0
2016-01-14,0.00870963896911908,0.007596603594720364,1.0,1.0
2016-01-15,-0.022618029259720528,0.007538650184869766,-1.0,1.0
2016-01-19,-0.0004669043064511232,-0.0003800170961767435,-1.0,-1.0
2016-01-20,-0.019811846845856306,0.0015755111817270517,-1.0,1.0
2016-01-21,-0.00429715200890046,0.006458131596446037,-1.0,1.0
2016-01-22,0.018018464437252538,0.004668042995035648,1.0,1.0
2016-01-25,-0.02041377423911061,0.005662697367370129,-1.0,1.0
2016-01-26,0.01664721356092494,0.0009319761302322149,1.0,1.0
2016-01-27,-0.0037807228399060443,0.0009008015040308237,-1.0,1.0
2016-01-28,0.00047347083439240096,0.002310447860509157,1.0,1.0
2016-01-29,0.027539641698255752,-0.0009848589543253183,1.0,-1.0
2016-02-01,-0.00415219731642168,-0.004543475806713104,-1.0,-1.0
2016-02-02,-0.028131404041820157,0.003124905051663518,-1.0,1.0
2016-02-03,0.0009506885330268599,-7.816147990524769e-05,1.0,-1.0
2016-02-04,0.00851467571927233,0.0015098766889423132,1.0,1.0
2016-02-05,-0.013276707673995759,0.0006276797503232956,-1.0,1.0
2016-02-08,-0.02562361094730476,0.004190274514257908,-1.0,1.0
2016-02-09,-0.0014702888132581123,0.00878101121634245,-1.0,1.0
2016-02-10,-0.0054094663841463605,0.0031433203257620335,-1.0,1.0
2016-02-11,-0.031049103576886332,-0.00234926282428205,-1.0,-1.0
2016-02-12,0.04135090648851621,0.007692050188779831,1.0,1.0
2016-02-16,0.015976960027399133,0.003963453695178032,1.0,1.0
2016-02-17,0.013359056370486722,0.0029991744086146355,1.0,1.0
2016-02-18,-0.00570327929648897,-0.0038020627107471228,-1.0,-1.0
2016-02-19,0.0,0.0010264713782817125,0.0,1.0
2016-02-22,0.015606626208170191,-0.0025069375988096,1.0,-1.0
2016-02-23,-0.017992791227982145,-0.0036073692608624697,-1.0,-1.0
2016-02-24,-0.0023917136754153267,0.004149086773395538,-1.0,1.0
2016-02-25,0.013793261242149185,-0.0011958202812820673,1.0,-1.0
2016-02-26,0.0070604162916338585,-0.0018908733036369085,1.0,-1.0
2016-02-29,-0.010846506576518186,0.003533451585099101,-1.0,1.0
2016-03-01,0.033110877073917716,-0.004457550123333931,1.0,-1.0
2016-03-02,0.010949164883860997,-0.010495633818209171,1.0,-1.0
2016-03-03,0.006782658282184277,-0.0012826935853809118,1.0,-1.0
2016-03-04,0.0040476220979947,-0.007461716420948505,1.0,-1.0
2016-03-07,-0.0004489523949276245,-0.0019584482070058584,-1.0,-1.0
2016-03-08,-0.016297252324327664,-0.008096633478999138,-1.0,-1.0
2016-03-09,0.0013683578170108133,-0.0018432710785418749,1.0,-1.0
2016-03-10,-0.0009119548595074308,-0.0017908366862684488,-1.0,-1.0
2016-03-11,0.025671244789501422,-0.0019185703713446856,1.0,-1.0
2016-03-14,-0.0031173295589643816,-0.0044388556852936745,-1.0,-1.0
2016-03-15,-0.000446148270586804,-0.0011880246456712484,-1.0,-1.0
2016-03-16,-0.002233583728524234,-0.0030540230218321085,-1.0,-1.0
2016-03-17,0.012002791280718513,-0.011538618244230747,1.0,-1.0
2016-03-18,0.009863619329183115,-0.0022965266834944487,1.0,-1.0
2016-03-21,-0.0017613386572186815,-0.005209701135754585,-1.0,-1.0
2016-03-22,-0.003089809155543153,-0.003779365448281169,-1.0,-1.0
2016-03-23,-0.007543726079545219,0.0024210261180996895,-1.0,1.0
2016-03-24,-0.00625564026640776,-0.0009660178329795599,-1.0,-1.0
2016-03-28,0.003132748580545132,0.001358412904664874,1.0,1.0
2016-03-29,0.0017856405170674173,0.003663470037281513,1.0,1.0
2016-03-30,0.005781518478311709,0.0047116028144955635,1.0,1.0
2016-03-31,-0.002219701347323667,-0.000594377750530839,-1.0,-1.0
2016-04-01,0.008849613017892985,0.006891629658639431,1.0,1.0
2016-04-04,-0.004857355626590764,0.00027629872784018517,-1.0,1.0
2016-04-05,-0.014267064180372054,-0.006678041070699692,-1.0,-1.0
2016-04-06,0.0053738742348372935,0.0012455370742827654,1.0,1.0
2016-04-07,-0.018936502830702487,0.002974572591483593,-1.0,1.0
2016-04-08,0.0036346398575372338,-0.000895573990419507,1.0,-1.0
2016-04-11,0.004073417766728377,-0.0037659418303519487,1.0,-1.0
2016-04-12,0.012567560629681378,0.0016370376106351614,1.0,1.0
2016-04-13,0.022492582010791917,0.0002658877056092024,1.0,1.0
2016-04-14,0.00217819297467833,-0.0027352042961865664,1.0,-1.0
2016-04-15,-0.0034873609833821003,-0.008160823956131935,-1.0,-1.0
2016-04-18,0.007396177631293868,-0.0010330581571906805,1.0,-1.0
2016-04-19,0.012492170650640922,-0.0026966172736138105,1.0,-1.0
2016-04-20,0.007675976185545356,-0.005411586724221706,1.0,-1.0
2016-04-21,-0.00896110064811145,-0.006840677931904793,-1.0,-1.0
2016-04-22,0.009385836613051037,-0.0004626654554158449,1.0,-1.0
2016-04-25,-0.002125556274703033,0.0003748945891857147,-1.0,1.0
2016-04-26,0.006362744503349215,-0.005226948298513889,1.0,-1.0
2016-04-27,0.0016898331535192715,-0.001178704435005784,1.0,-1.0
2016-04-28,-0.010609068630361377,-0.0005553036462515593,-1.0,-1.0
2016-04-29,-0.005561316022852207,0.0010321002919226885,-1.0,1.0
2016-05-02,0.008968473626903324,-0.000875032739713788,1.0,-1.0
2016-05-03,-0.012837037563150359,-0.00010874215513467789,-1.0,-1.0
2016-05-04,-0.00778217371742055,0.0023982974234968424,-1.0,1.0
2016-05-05,-0.000434211337219014,-0.0025617803912609816,-1.0,-1.0
2016-05-06,0.004332939718957141,-0.000310973497107625,1.0,-1.0
2016-05-09,-0.0025975102581477292,-0.004192199558019638,-1.0,-1.0
2016-05-10,0.014202964009787976,-0.004015887156128883,1.0,-1.0
2016-05-11,-0.010741185387016915,-0.002590128919109702,-1.0,-1.0
2016-05-12,0.00043174747665043403,-0.0027103384491056204,1.0,-1.0
2016-05-13,-0.012163411537929261,-0.002932885428890586,-1.0,-1.0
2016-05-16,0.005230976247599847,-0.004529285244643688,1.0,-1.0
2016-05-17,-0.005668080543131784,-0.004672086797654629,-1.0,-1.0
2016-05-18,0.017338892559751993,-0.0015246991533786058,1.0,-1.0
2016-05-19,-0.009499241091737515,-0.006061423569917679,-1.0,-1.0
