Date,022_XLV_1d_actual_lnrts,022_XLV_1d_forecast_lnrts,022_XLV_1d_true_label,022_XLV_1d_forecast_label
2016-01-06,-0.008194236931655809,0.0005122395232319832,-1.0,1.0
2016-01-07,-0.020495200259641203,0.0074100010097026825,-1.0,1.0
2016-01-08,-0.015173720130805826,0.0008397805504500866,-1.0,1.0
2016-01-11,-0.011979979562834418,0.003113475628197193,-1.0,1.0
2016-01-12,0.012714505210203422,-0.00372642045840621,1.0,-1.0
2016-01-13,-0.030124403243995766,-0.002065372420474887,-1.0,-1.0
2016-01-14,0.02644509522636104,0.010336832143366337,1.0,1.0
2016-01-15,-0.014106637075812136,0.013029816560447216,-1.0,1.0
2016-01-19,-0.00014971275976276302,0.002927282825112343,-1.0,1.0
2016-01-20,0.0019425872451368689,0.005307025276124477,1.0,1.0
2016-01-21,-0.0029900047139785435,0.0033771544694900513,-1.0,1.0
2016-01-22,0.01574611963632747,-0.0018703292589634657,1.0,-1.0
2016-01-25,-0.009328860903346373,0.008295281790196896,-1.0,1.0
2016-01-26,0.007558610047724298,0.0017630727961659431,1.0,1.0
2016-01-27,-0.011433543590284012,0.005264095962047577,-1.0,1.0
2016-01-28,-0.02357333143840985,0.01111722830682993,-1.0,1.0
2016-01-29,0.016228365226318743,0.018979907035827637,1.0,1.0
2016-02-01,0.0015032090300313267,0.010759917087852955,1.0,1.0
2016-02-02,-0.014525701927755265,0.016180310398340225,-1.0,1.0
2016-02-03,0.0065322344292316915,0.021993309259414673,1.0,1.0
2016-02-04,-0.005466114396497131,0.01575632020831108,-1.0,1.0
2016-02-05,-0.019680746471132524,0.02020629495382309,-1.0,1.0
2016-02-08,-0.013758849366119805,0.022346843034029007,-1.0,1.0
2016-02-09,0.007528243775259251,0.029238540679216385,1.0,1.0
2016-02-10,0.008711872168334646,0.026711609214544296,1.0,1.0
2016-02-11,-0.016240115943593904,0.019549518823623657,-1.0,1.0
2016-02-12,0.013292905738240258,0.021363787353038788,1.0,1.0
2016-02-16,0.018623096204920513,0.01737247034907341,1.0,1.0
2016-02-17,0.012576918386575774,0.01059938408434391,1.0,1.0
2016-02-18,-0.006193119076986423,0.011526775546371937,-1.0,1.0
2016-02-19,-0.0010610729715900564,0.018366724252700806,-1.0,1.0
2016-02-22,0.014157011671356029,0.010331133380532265,1.0,1.0
2016-02-23,-0.007505351685470555,0.006472141481935978,-1.0,1.0
2016-02-24,0.0033091263596146648,0.008970445953309536,1.0,1.0
2016-02-25,0.012387382645298218,0.005902623757719994,1.0,1.0
2016-02-26,-0.0017814295964308981,0.007627896964550018,-1.0,1.0
2016-02-29,-0.01602662680290516,0.006545711308717728,-1.0,1.0
2016-03-01,0.02121371687567676,0.0010104896500706673,1.0,1.0
2016-03-02,0.0016248607472544336,-0.005071227438747883,1.0,-1.0
2016-03-03,-0.002808164887568633,0.004356079734861851,-1.0,1.0
2016-03-04,-0.0023706038218729805,0.003765000030398369,-1.0,1.0
2016-03-07,0.007978616259716353,-0.0008355877362191677,1.0,-1.0
2016-03-08,-0.012290045002071261,0.0006422949954867363,-1.0,1.0
2016-03-09,0.00178609587135686,-0.0005142027512192726,1.0,-1.0
2016-03-10,0.0005947385210557936,-0.000703093595802784,1.0,-1.0
2016-03-11,0.019283818854057912,0.00418529286980629,1.0,1.0
2016-03-14,-0.0042368739616134585,0.0017520524561405182,-1.0,1.0
2016-03-15,-0.01564168341350021,0.0015025995671749115,-1.0,1.0
2016-03-16,-0.00238202272189294,0.0013145701959729195,-1.0,1.0
2016-03-17,-0.011696292762938544,0.004314512945711613,-1.0,1.0
2016-03-18,0.01169303025060446,0.005454418249428272,1.0,1.0
2016-03-21,0.00581781903836527,0.0036715753376483917,1.0,1.0
2016-03-22,0.009916596504944603,-0.003710063872858882,1.0,-1.0
2016-03-23,-0.007094575952178832,0.001943213865160942,-1.0,1.0
2016-03-24,-0.0004451018581724456,-0.005019535310566425,-1.0,-1.0
2016-03-28,-0.0028232634592180853,-0.007181658409535885,-1.0,-1.0
2016-03-29,0.011540326832222872,-0.004328319802880287,1.0,-1.0
2016-03-30,0.00014717176752532856,0.0009618899784982204,1.0,1.0
2016-03-31,-0.0030936392263684795,-0.0002766544930636883,-1.0,-1.0
2016-04-01,0.011296190494450607,-0.0029124736320227385,1.0,-1.0
2016-04-04,0.011891231146560526,-0.004474593326449394,1.0,-1.0
2016-04-05,-0.013058925743182312,-0.009034860879182816,-1.0,-1.0
2016-04-06,0.0265184573888172,-0.002653977135196328,1.0,-1.0
2016-04-07,-0.011011845354611537,0.0011349581182003021,-1.0,1.0
2016-04-08,-0.0027360914258484164,0.001993265002965927,-1.0,1.0
2016-04-11,-0.007671855836929725,-0.006303749512881041,-1.0,-1.0
2016-04-12,0.008104365950555026,-0.0033840842079371214,1.0,-1.0
2016-04-13,0.009325160584469689,-0.002013543387874961,1.0,-1.0
2016-04-14,0.000570909404537086,-0.0017757429741322994,1.0,-1.0
2016-04-15,-0.0007137937027760854,-0.003731552744284272,-1.0,-1.0
2016-04-18,0.009240101581975869,-0.0017203548923134804,1.0,-1.0
2016-04-19,0.0035313653105824394,-0.008838594891130924,1.0,-1.0
2016-04-20,0.005343949479859582,-0.0015542148612439632,1.0,-1.0
2016-04-21,0.005873300447071772,-0.005643568467348814,1.0,-1.0
2016-04-22,0.002089499198895914,-0.005546615459024906,1.0,-1.0
2016-04-25,-0.0039036985111666495,-0.004760043229907751,-1.0,-1.0
2016-04-26,-0.0037785969127717735,-0.007322422228753567,-1.0,-1.0
2016-04-27,-0.0011222018738227396,-0.005402027629315853,-1.0,-1.0
2016-04-28,-0.004784136243116496,-0.0016848561353981495,-1.0,-1.0
2016-04-29,-0.015779749752332765,-0.002317359670996666,-1.0,-1.0
2016-05-02,0.005715042472042016,-0.006886799819767475,1.0,-1.0
2016-05-03,-0.00313906171098474,-0.008226565085351467,-1.0,-1.0
2016-05-04,-0.009621806942280275,-0.0015638205222785473,-1.0,-1.0
2016-05-05,0.004175899616134246,-0.0052592153660953045,1.0,-1.0
2016-05-06,-0.005908974960256177,-0.006041128188371658,-1.0,-1.0
2016-05-09,0.011354882286402362,-0.00488942489027977,1.0,-1.0
2016-05-10,0.008396750794442229,-0.004024526569992304,1.0,-1.0
2016-05-11,-0.012119666997114895,-0.009757895022630692,-1.0,-1.0
2016-05-12,-0.005898890739607593,-0.005759207531809807,-1.0,-1.0
2016-05-13,-0.002311553683962578,-0.0022281063720583916,-1.0,-1.0
2016-05-16,0.013504020932921969,-0.0019701747223734856,1.0,-1.0
2016-05-17,-0.010471260192767565,-0.0032108710147440434,-1.0,-1.0
2016-05-18,0.004172895286362459,-2.9848888516426086e-06,1.0,-1.0
2016-05-19,-0.008508049371752664,0.0004886961542069912,-1.0,1.0
2016-05-20,0.00922595701206077,-0.007395191118121147,1.0,-1.0
2016-05-23,-0.0040259549336954855,-0.005044521298259497,-1.0,-1.0
2016-05-24,0.014304386861746295,0.0007951012812554836,1.0,1.0
2016-05-25,0.0062295983044296085,-0.003025998827069998,1.0,-1.0
2016-05-26,0.0001411094068392478,-0.007778787054121494,1.0,-1.0
2016-05-27,0.004505825040236772,-0.007765874266624451,1.0,-1.0
2016-05-31,0.00238540475830918,-0.005581666249781847,1.0,-1.0
2016-06-01,0.003637399559023026,-0.010912319645285606,1.0,-1.0
2016-06-02,0.01276559504389627,-0.006811314262449741,1.0,-1.0
2016-06-03,-0.0033144241565440675,-0.0009107440710067749,-1.0,-1.0
2016-06-06,0.005380400969904557,-0.007725652307271957,1.0,-1.0
2016-06-07,-0.006210779480500874,-0.011342193000018597,-1.0,-1.0
2016-06-08,0.0034552270957596064,-0.008285552263259888,1.0,-1.0
2016-06-09,-0.0016570881835805634,-0.0028721336275339127,-1.0,-1.0
2016-06-10,-0.00804771910840868,-0.006191262509673834,-1.0,-1.0
2016-06-13,-0.007972609284471674,-0.0028998693451285362,-1.0,-1.0
2016-06-14,0.0015435321746896892,-0.003931040875613689,1.0,-1.0
2016-06-15,-0.006894137944329899,-0.009481385350227356,-1.0,-1.0
2016-06-16,0.003523401551512307,-0.0057938676327466965,1.0,-1.0
2016-06-17,-0.010436318631749849,-0.00519909430295229,-1.0,-1.0
2016-06-20,0.0062605187377987705,-0.0029180808924138546,1.0,-1.0
2016-06-21,-0.00340994100970883,-0.008138136938214302,-1.0,-1.0
2016-06-22,0.0028424894984050673,-0.006665271241217852,1.0,-1.0
2016-06-23,0.012972476674525377,-0.004929038695991039,1.0,-1.0
2016-06-24,-0.029428538373342677,-0.004871437791734934,-1.0,-1.0
