Date,034_IYW_1d_actual_lnrts,034_IYW_1d_forecast_lnrts,034_IYW_1d_true_label,034_IYW_1d_forecast_label
2016-01-05,-0.0050410974031317324,0.0026259473524987698,-1.0,1.0
2016-01-06,-0.0128599644527206,0.0010324185714125633,-1.0,1.0
2016-01-07,-0.033392221889783,0.0033248933032155037,-1.0,1.0
2016-01-08,-0.00792108338455791,0.009757140651345253,-1.0,1.0
2016-01-11,0.005120774930637332,0.004261281341314316,1.0,1.0
2016-01-12,0.01234217418374557,0.0033975611440837383,1.0,1.0
2016-01-13,-0.02961611280224256,-0.0007409583777189255,-1.0,-1.0
2016-01-14,0.02007424707241762,0.005268325097858906,1.0,1.0
2016-01-15,-0.03237693960076196,0.005727022886276245,-1.0,1.0
2016-01-19,-0.002168810565733933,-0.002949629444628954,-1.0,-1.0
2016-01-20,-0.004766865113230683,-0.002031270880252123,-1.0,-1.0
2016-01-21,0.0016607773379452059,0.006063677370548248,1.0,1.0
2016-01-22,0.028723648144898643,0.005060938652604818,1.0,1.0
2016-01-25,-0.015230326611586317,0.0034550477284938097,-1.0,1.0
2016-01-26,0.009672863208173066,0.006550365127623081,1.0,1.0
2016-01-27,-0.026282267072581987,0.006626661866903305,-1.0,1.0
2016-01-28,0.015893042955345743,0.010724341496825218,1.0,1.0
2016-01-29,0.033625092702758645,0.007146050222218037,1.0,1.0
2016-02-01,0.0015828249391937764,0.0031469070818275213,1.0,1.0
2016-02-02,-0.02127856257972574,0.002435424830764532,-1.0,1.0
2016-02-03,-0.0031349173100061662,0.003270340384915471,-1.0,1.0
2016-02-04,0.0033369106224963143,0.00466878991574049,1.0,1.0
2016-02-05,-0.03754232043370841,0.0009318279335275292,-1.0,1.0
2016-02-08,-0.01510137345759733,0.004801797214895487,-1.0,1.0
2016-02-09,-0.00437225800430562,0.00965939648449421,-1.0,1.0
2016-02-10,0.0017084096915823738,0.0008011286263354123,1.0,1.0
2016-02-11,-0.0013879051994173759,0.004519375506788492,-1.0,1.0
2016-02-12,0.013055509564681982,0.004522204864770174,1.0,1.0
2016-02-16,0.02066453780806967,0.003950763028115034,1.0,1.0
2016-02-17,0.024085209834374892,0.00046420571743510664,1.0,1.0
2016-02-18,-0.006170111335728376,-0.004953069146722555,-1.0,-1.0
2016-02-19,0.0029380270236829607,0.0032689878717064857,1.0,1.0
2016-02-22,0.013564651943978604,0.0023919004015624523,1.0,1.0
2016-02-23,-0.019042418282946543,0.00030183358467184007,-1.0,1.0
2016-02-24,0.009616884477938932,0.0028814198449254036,1.0,1.0
2016-02-25,0.012315542808163975,0.0009685426484793425,1.0,1.0
